,customer_unique_id,segment,review_score,review_comment_title,review_comment_message
56102,a30df00a22c69239b63f02b32fd233c7,Potential Loyalist,1,Ruim,"Na impossibilidade da entrega ou do produto, penso ser no mínimo necessário um feedback."
55828,09928c4afa1c45cfcf099b3b13889719,Potential Loyalist,1,peça errada,"o produto não veio como esperávamos, não deu certo pro carro."
56024,f90f564603962bf9d6ebac2e616e46ed,Potential Loyalist,1,Produto errado,A ducha que comprei é o modelo com o desviador flexível. A ducha entregue veio SEM o desviador flexivel. Como devo proceder?
55856,9993796d78160390efc1cdbcda4aff11,Potential Loyalist,2,Não recebi o produto,"Não recebi o produto, o site poderia mostrar onde o produto está. "
55896,f63c078f03a34e5222ec68a70c3548f5,Potential Loyalist,1,Produto veio com defeito,Antes de recomendar a loja preciso ver se a loja irá trocar o produto que veio com defeito. Para mim minha compra não foi finalizada ainda.
55955,13b7ead8ba1531e08ca813488641c12e,Potential Loyalist,1,Avaliação,Loja recomendada. Produto de péssima qualidade.
55968,0bdb1b5e412a2098545a552a2c091686,Potential Loyalist,1,sem profissionalismo,eu estou mais de um mes esperando o produto e ate agora nada eu fiz outras compras no mesmo dia e ja chegou menos esse da targaryen
55040,5fce0bef77d1d1f128ca59331ff58ff0,Potential Loyalist,1,Não recebi o produto,quero meu dinheiro de volta
55096,72ec7c240cdb7e2849af87693d91a7d7,Potential Loyalist,1,Quero trocar,Qútero fazer a troca e estádemorando muito
55132,740a280b762d71bff31f256d37490ab3,Potential Loyalist,1,PRODUTO VEIO TROCADO,PRODUTO VEIO TROCADO
55168,0e850ed5adc4abe0346435eda5b1a626,Potential Loyalist,1,É muito confusa.,"Comprei duas válvulas solenóides iguais. Paguei o mesmo produto com quantidade 2 (dois). As válvulas são iguais, mas as roscas são diferentes. Uma é BSP, com passo igual a NPT, a outra tem passo maio"
55170,0e850ed5adc4abe0346435eda5b1a626,Potential Loyalist,1,É muito confusa.,"Comprei duas válvulas solenóides iguais. Paguei o mesmo produto com quantidade 2 (dois). As válvulas são iguais, mas as roscas são diferentes. Uma é BSP, com passo igual a NPT, a outra tem passo maio"
54864,71cc7b5f72e48acda1a06282202df804,Potential Loyalist,1,Quero meu produto,Nota não tenho pra da quero meu produto
54926,fa456d6a84c63b41098ceb060829c8c3,Potential Loyalist,2,Recomendo com ressalvas.,Recebi o MP3 sem o fone de ouvido.
54928,e19d0aff38a9959adb9b0c96a450e249,Potential Loyalist,1,NÃO RECOMENDO,"RECEBI O PRODUTO COM O CONTROLE QUEBRADO, JA MANDEI E-MAIL PEDINDO PARA TROCAR, MAS NÃO ME RESPONDERAM."
54968,42dcd36c9013386c8166e26e0164cd88,Potential Loyalist,2,avarias no produto,"O cesto foi recebido com uma das duas dobradiças amassada e faltando um parafuso de dois de uma lateral, que sequer teve a furação do parafuso na madeira, ou seja ele nunca foi colocado."
55215,7d2252746734931a8177e2680680eeeb,Potential Loyalist,1,atrazado,não recebi ainda
55543,cc600bdf917663330ad986092b9cb8f5,Potential Loyalist,2,Propaganda não condiz ,"A descrição do produto refere-se a um material e acabamento que parece ser muito bom, porém recebi o produto em MDF, que nada mais é que um adesivo, mal colado, com discretas bolhas..."
55430,dafdf466986c95af7c653bcb4ca539ec,Potential Loyalist,1,Produto danificado ,Infelizmente recebi o produto que é uma solução p unhas roídas com o frasco vazio e danificado
55455,47911c12fe5b77683f7cb593c027c479,Potential Loyalist,1,Cadê meu produto,Porque toda vez que tento rastrear meu produto não é possível 
55397,81fd3fd3cb3c6feb4d681fdc6996d896,Potential Loyalist,1,Não recebi no prazo.,"Não recebi no prazo, não tive um retorno de quando poderia receber, e estou me sentindo enganado com a empresa que ofereceu o serviço."
55231,4b76fbdf24fe046cf33f6a0a55f3e801,Potential Loyalist,1,MATERIAL NÃO ENTRE,MATERIAL NÃO ENTREGUE NO PRAZO
55301,93b9fb08eabb536d0322723c72b50dc6,Potential Loyalist,1,Reclamação ,Só tem um problema. Ela está marcando errado
53581,aa7601db46d40e3f6a3a8a7d72797729,Potential Loyalist,2,Chegou parcial.,Recebi parcialmente.
51771,e93b97f0c78dcf82ce8c3232b8726375,Potential Loyalist,1,não recomendo,"eu recebi o produto com defeito quero devolver e receber vale compra, ou o estorno do pagamento,
eu ja tenho outro produto no carrinho pra resolver esse problema , porem não consigo um atendimento 
"
51783,1cbda36ee89944baa7a738ddbdc4679a,Potential Loyalist,1,Parceiro não confiável ,"Estou com problemas de pedido. O parceiro não responde, envia pedido errado e não retorna."
51603,b51e75ee3ae75c726398af3dfcbb5008,Potential Loyalist,2,Entrega,Recebi parte da compra. Fsltou a saia matelasada. E não recebi nenhuma informação sobre essa pendência. Aguardo instruções sobre como proceder.
51676,fcc75b6c451d8ddf8a3ecbf3bea3dc10,Potential Loyalist,2,Decepcionada,Não me enviaram a cor na qual tinha solicitado.
51615,05e89b2621d4014d7846b7d481dfafd3,Potential Loyalist,2,Não recomendo ,"Não recebi até hoje
"
51685,7f131a64624253c6f621f39e49b7baae,Potential Loyalist,1,Erro no modelo ,"Gostaria de pedir a troca do produto, pois mandaram o modelo arredo. "
51739,b7dfe0920bbd2c5fc78ce89e7363d48c,Potential Loyalist,1,Recebi parte do produto,Só chegou o acoplamento dos carro. O carrinho e bebe conforto não veio.
52161,7a22d14aa3c3599238509ddca4b93b01,Potential Loyalist,1,Muito frágil !!!,"Achei o produto muito pequeno e onde fica a ""tela "" com os botões do microondas sai com facilidade. Não tem um bom encaixe..."
51904,c9b1fefb2abaaef18c6a3009b1e18cba,Potential Loyalist,1,Recomendo produto otimo,O simparic 40 mg não foi entregue ainda.
52175,e859e90f73478f60793f3be64ef9eb1a,Potential Loyalist,2,Não comprem,produto e baixa qualidade pelo preço. Não gostei. 
52075,1d64f7a7635895018b7afc7731670bfc,Potential Loyalist,1,pessimo atendimento,"assim que fiz o pedido observei que tinha pedido o produto errado e na mesma hora pedi o cancelamento do pedido mas ñ tive resposta da targaryen, ja fiz mas de 10 pedidos de devolução mas eles ñ respondem"
51919,236cb33406610c4551abb79a937a4739,Potential Loyalist,2,5,bom
51962,bb248deeeadaa54d461c8817ae807588,Potential Loyalist,1,Pessimo,"Até o momento, não me dizem nada. Isso é péssimo p a americana. Trata o cliente pessimamente mal."
52024,e8fb22638c3bc7ccf312ea7f0a0ce08b,Potential Loyalist,1,kd o produto,kd o produto companheiro
52038,0ba9d9bc5f447c3741e7dac86c8e13cd,Potential Loyalist,1,produto errado ,Eu comprei um relógio e me mandaram outro 
51144,202071f9dcb1c67ea10e27a67248a519,Potential Loyalist,1,Péssima qualidade ,Produto de péssima qualidade ! Nao parece nada com a foto do produto no site ! Vou devolver ! 
51191,9d7b7634f5b8ca6256a702c210021d28,Potential Loyalist,1,Loja Lixo,"Eu comprei o livro educação física e organização curricular, este do anúncio da foto e não o que me enviaram. Eu recebi um livro de nome: educação infantil e cooperação, quero meu dinheiro de volta!!!"
51252,a1f56aab52b1748c1f978deabd1f6e6b,Potential Loyalist,1,Mandaram o produto errado,"Mandaram outro produto no lugar do que eu comprei. Comprei uma bumbleebe mandaram uma Batgirl, que já temos, minha filha aguardava essa boneca ansiosa, pois estávamos atrás há muito tempo. "
51593,728a151b4593fb7ae0787158df28752a,Potential Loyalist,1,Recebi Outro Produto,"Comprei Feno Grego, me entregaram Ginkgo Biloba e peço ENCARECIDAMENTE que realizem a troca na minha residência.
Obrigada!"
51063,105e7ec4dda85b9f52a2251080809e22,Potential Loyalist,2,não recebi o que comprei,"no site comprei o produto o original embalado, inclusive com o preço maior, porem recebi o produto desembalado, enrolado em plastico bolha muito diferente do original, diferente do que comprei.."
51076,6e8dab044fed54dbac55f98c27c23cf4,Potential Loyalist,1,Produto diferente ,"Produto que comprei é totalmente diferente das fotos e da discrição, é apenas uma réplica fratura de má qualidade."
51491,e6488d17c6c6331cdc09695741df024d,Potential Loyalist,1,Produto Mal feito,"Produto mal feito, torto, com as soldas mal feitas."
51498,db63d1938f9fd68035212ae046df6917,Potential Loyalist,1,Reclamacao Falta de Entre,1 dos produtos (o cavalo) nao veio. Favor verificar . Consta no site que foi entregue e isso nao ocorreu
51506,9955ae9211487719711e63d871502b63,Potential Loyalist,1,produto não entregue,"o produto não foi entregue, a empresa não se pronuncia "
51538,0f5886490fab461243285065ba5143d6,Potential Loyalist,2,Dúvidas...,"Não funcionou, o equipamento não consegue fazer contato com o celular, preciso fazer mais teste para ter certeza, mas aparentemente não funcionou."
51558,9bad7dbe401459908f618c44b8cec762,Potential Loyalist,1,Produto ainda não chegou,A tercerizada me enviou email culpando os correios...
51572,d41cd5f7ae1bc17b8c5e6cd572122f8f,Potential Loyalist,1,A boneca,"A boneca não é igual a imagem que está no site, por isso fiquei bem desapontado, pois sempre que comprei algumas coisas por esse site eram bem atendidas "
51358,cd0999d3eaf80379f35397a0941a5b20,Potential Loyalist,2,Frete,"Pagar frete comprando tudo através de um único site é simplesmente horrível. Eu sei que está é outra loja, porém não pretendo voltar a comprar na lannister.com"
51420,2f2f4b5a5700a5b108e6da7f0f5f5bb3,Potential Loyalist,2,Recebi produto com defeit,"Recebi o produto com defeito! Como proceder para devolver? Aguardo orientação.
"
53131,b1e41a18b2cd67509f5bcaf594d0142c,Potential Loyalist,1,Produto não funciona,O a cinta do produto não está funcionando.
52969,fca4d836901c629b5b1c06d73a78faed,Potential Loyalist,1,nao recomedo,pedi unissex e veio feminino pequeno
52905,f4f6b3249863b89349e6655aac2ce3f8,Potential Loyalist,1,Triste,Adorava comprar neste site!!$
53030,425c20fcf08344967155a3d44d46584e,Potential Loyalist,1,zero,"BOM DIA, JÁ É A QUARTA VEZ QUE SOLICITO A DEVOLUÇÃO DO PRODUTO E ATÉ O MOMENTO NÃO TIVE RETORNO, POIS A MEDIDAS DA BOLSA NÃO SÃO AS MESMAS DECLARADAS NO ATO DA COMPRA. 
GT. KEYLA"
53420,dbbdf30a9af9996ef9667badfb0c4aa1,Potential Loyalist,1,pessimo ,produto com defeito. 
53463,5cdcf64f2091cc0e0fd58913e46d2ec4,Potential Loyalist,1,Produto errado,Veio outro produto
53471,b0635c2bfd67a248940a19b7c05b8e0f,Potential Loyalist,1,Incompetência ,"Solicitei o cancelamento da compra após comprar, a nota fainda não tinha sido emitida e me retornaram no dia seguinte dizendo que não seria possível cancelar pois o produto já tinha sido despachado"
53258,19af2c88e8c0ea187366bb5d82789df6,Potential Loyalist,1,Erro de entrega,"Comprei 2 relógios e recebi somente 1. Assinei a entrega porque imaginei que viriam em duas entregas separadas, porém quando abri na nota fiscal estão os dois. Espero urgente uma posição."
53279,78761d0c2d365eb550a618345df5f9c7,Potential Loyalist,2,Entrega atrasada,"Este produto era para presentear minha esposa, infelizmente até a presente data não chegou."
52826,6f86c771e8dd0d90537c6aee67d4e2b9,Potential Loyalist,2,Bom,Recebi o jogo bege o vermelho ainda nao
52385,e35581ccaba305fc83d0a21aed8f3428,Potential Loyalist,1,Produto Péssimo,"Não condiz com a foto, não veio com as 4 pilhas conforme o anúncio e simplesmente não funcionou em nenhuma das 3 televisões Smart que eu tenho da Marca Samsung.
Muito descaso com consumidor!!!"
52439,6fb1f07f50322ace5e510c059089c409,Potential Loyalist,2,Capa fragil,"Nao creio que essa capa vá durar, material mole e de aparência frágil, pelo preço deveria ser melhor"
52455,7ddfedfa64d35272464a0a4401abbe0e,Potential Loyalist,1,Não recebi o produto,Bom dia. Ainda não recebi o produto.
52375,efc9155663ad6c6c64f002378a896136,Potential Loyalist,1,targaryen é desonesto.,"Comprei Escova De Dentes Curaprox Black Edition - Cerdas Pretas. Foi entregue Escova Roxa com cerdas Verdes. 
Nada a ver. E a targaryen, parceira das lannister disse que não pode fazer nada. CORRAM."
52243,b5477baf478d1ba4aeb6f0fe116e836d,Potential Loyalist,1,PESSIMO,"Paguei por um frete onde os prazos não foram seguidos,nas informações de rastreio aparecia apenas a ocorrência de um imprevisto,a falta de informações demonstra o descaso da empresa com o cliente."
52302,75d441e15d55741e935e018e42adca06,Potential Loyalist,1,Minha compra venho faltan,Minha compra venho incompleta. Tá faltando o chicote. Tento liga e só tem gravação não consigo falar com atendente.
52312,6dbcc57be1cead7be989aa72dc7f44ca,Potential Loyalist,2,Produto fraco,"A entrega foi um pouco demorada. Nada a reclamar das lannister. O produto, no entanto, é fraco, metal muito leve, não dando firmeza como porta-toalha."
52710,f2ae19a9a217f8712d77f9c7e9b03c9c,Potential Loyalist,2,produto horrivel,produto fora da minha expectativa 
52717,251ba2e0913ff891b1783d27396d8636,Potential Loyalist,1,Não compro mais,Produto não funciona e sem manual de instrução.
52725,8a8ac60fd8ea25925f379a33ef277987,Potential Loyalist,1,Ainda não recebi,"Até agora só recebi uma nota fiscal de uma Central para jeep renegade ,mais ate esse momento nada de central nem de jeep nem de elantra "
52755,6bce7bc0805ad41e7a88892711c1ed3c,Potential Loyalist,2,## ,"Bom dia.
O relógio encaminhado foi semelhante, mas o visor do solicitado tinha luminosidade diferente. 
"
52756,3f67cd4269b8c6c43c47fc8595419fe1,Potential Loyalist,1,Ótimo produto ,Sô lamento que paguei o carreto e tive que buscar nos Correios 
52800,a1ab8b0f81af19b4b5bf31c33525caa7,Potential Loyalist,1,Produto ainda não chegou,Produto ainda não foi entregue.
52802,bccf4ab3959cdc57e57b10e7cf35c5aa,Potential Loyalist,1,nao recomendo,"o cartao do memoria nao funciona corretamente, perdi os arquivos que coloquei no mesmo... preciso fazer a devolucao"
52553,1d3178b80a8379b8c1547b1dbb0a2d0e,Potential Loyalist,1,Atenção! ,Coloquei que não foi entregue por que eu que tive q ir buscar. Eles não entregam na minha casa... E outra uma semana de uso o fone já está dando problemas!
52585,6ba987d564bad1f9da8e14b9d3b71c8f,Potential Loyalist,1,Péssima meu produtdefeito,
52609,dd726e954ce7cb0fdcb2acab9863695a,Potential Loyalist,2,Bom,Bom esperar o resultado
52635,43da534e5e6c052df9993df486f342b6,Potential Loyalist,1,O pedido chegou faltando ,"O pedido, não chegou com a quantidade correta. Faltou o Suporte De Peito Cinta Peitoral Para Camera Gopro Go Pro, faltou um Adaptador Conector P2 Macho P10 Femea Estereo Microfone sendo 3."
52646,fd5233d2c8437ce53379939fa12ad908,Potential Loyalist,1,Reclamação ,"Estou extremamente chateada com a compra, pois até agora não tenho notícias de onde andam os produtos. O prazo de entrega já extrapolou e nada. Quero que tomem providências urgentes."
52650,13f8b06b650bf87fba85d1b6d1d3594a,Potential Loyalist,1,Não recebi o produto,"Não recebi o produto e por este motivo não tenho como opinar. Mesmo que tivesse recebido, o prazo de entrega é muito grande. "
52656,c20482747bad2b33e3863380852f306c,Potential Loyalist,1,Produto não entregue,É lamentável. Nenhum comunicado sobre o motivo de tanta demora
59533,99bf2e03eb1ef8f29fd57ad10fd75e48,Potential Loyalist,1,Não recebi o produto aind,O produto ainda não chegou
59534,99bf2e03eb1ef8f29fd57ad10fd75e48,Potential Loyalist,2,Produto divergente ,"Adquiri o produto c rodízios, entendi q fosse c 4 rodas de apoio no pé. Porém recebi o gaveteiro sem as rodinhas, com o apoio dos 4 pés estáticos."
59547,b52b8debdefe66d4c0d7f44d9b4ff088,Potential Loyalist,1,Negativa,Não recebi o produto e nem satisfação
59632,14650aba2993d5db931ecd1ff160714a,Potential Loyalist,2,Nao era o que eu esperava,"Comprei o relógio todo preto, com fecho preto, porém veio com fecho prata, e comprei com nome MVTM escrito dentro do relógio, veio sem o nome, na foto fecho preto, e com nome MVTM, não veio assim"
59654,18811c75f8fe5d63cf4770f9a9b5649f,Potential Loyalist,1,Com defeito,"Tampa da garrafa espanada, não fecha corretamente"
59657,50915df398391da01c01bd5cf272f61b,Potential Loyalist,1,recomendo,Estou aguardando uma posição da loja em relação a disponibilidade do produto
59658,50915df398391da01c01bd5cf272f61b,Potential Loyalist,1,recomendo ,Estou aguardando uma posição da loja em relação a disponibilidade do produto
59369,b07c36e3c141596234ef4d73969f4dc8,Potential Loyalist,1,NAO RECOMENDO...,"NAO GOSTEI DO PRODUTO, E PIOR QUE A LOJA NAO DÁ OPÇAO DE TROCA NO SITE, E NO CONTATO DAS lannister NAO TEM OPÇAO PRA FALAR..."
59416,3a25d96d18de69b1f8e5b49ba4b5d05e,Potential Loyalist,1,Erro de produto,"O produto entregue é diferente do produto comprado no site e diferente da foto do produto no site, além disso, não é compatível com o aspirador de pó Electrolux Ergoeasy Titan."
59441,19b4cb065aab4ec05c074ecad011f4a4,Potential Loyalist,1,Produto não chegou ,O produto ainda não chegou
59458,cc3366cb80683e4ed0aaa5e09191af5c,Potential Loyalist,2,Produto errado,"Boa tarde, , único problema é que o produto comprado e faturado em NF era um elefante de pelúcia CINZA de 65 cm e veio um elefante ROSA, 
Confiram por favor."
59461,27d8c25e451916e60d7935b78ee84b3b,Potential Loyalist,1,Decepção,"A compra feita em janeiro, não entregue, agora, com restituição do valor através de voucher, nada de entregar."
59466,a9bf88ae7e6a141ebeb3369b4914d488,Potential Loyalist,1,Perfumes,"Comprei dois perfumes, o Tommy Hilfiger recebi caixa lacrada parece ok, mas o perfume da Gabriela Sabatini a caixa está sem lacre e tem etiqueta auto adesiva fundo do frasco lado externo. Será falso??"
59660,f34dba306b9b0952ae463d995f11d785,Potential Loyalist,1,Produto parcialmente entr,"Comprei dois jogos de susplat, mas veio apenas um. Qualidade do tecido horrível. Quero exercer direito de arrependimento. "
59868,877e4d5642cf4289c44d174be9f4ff94,Potential Loyalist,1,Produto com defeito.,Estou solicitando a devolução do produto.
59930,117c2c5c0d42af6a560b0b09af20b196,Potential Loyalist,1,Problema com a entrega,"O produto não foi entregue. 

Em 19/04 os Correios informaram que houve um imprevisto na entrega.

Solicitei o estorno da compra e estou aguardando as devidas providências."
59734,26642f255960d9ec6775f88524238e45,Potential Loyalist,1,Muito ruim ,Meu produto constar que foi entregue mais não chegou nada na minha casa e hoje de manhã eu liguei na central da lannister pra saber o que aconteceu e atendente? mim informou pra ey esperar até terça 
59783,3e5457d2e1d8f476beb365876052a898,Potential Loyalist,2,falta de contato de tel,não consigo nunca falar com as lojas lannister
56202,13577f3827a7cebf81738a9d821bf8db,Potential Loyalist,1,Não recomendo ,encomendei e paguei por 2 unidades do produto (Película de vidro 3D Moto X4) e somente uma foi entregue.
58695,408269108b8921c13ae1ef727c5ca4cb,Potential Loyalist,1,PRODUTO ERRADO ,SOLICITEI OUTRO MODELO E COM MAIS ML
58836,46d83174629858a4bd3c9e0927e1a802,Potential Loyalist,2,Produto divergente ,"Comprei por um capacete no tamanho G, claramente especificado no anúncio. No entanto me enviaram o tamanho M, sem ao menos ser questionado se atenderia às minhas necessidades."
58546,721d3d94afffd9ef57b7b06fcbcbdeae,Potential Loyalist,1,Entrega incompleta,"Comprei quatro cobertores, entregaram um. "
58505,954b8f1bfe20cb7145539dd65e8f89ff,Potential Loyalist,1,Pedido não entregue,
58524,9f3a4f9a67346ae72d8edc3b766e664f,Potential Loyalist,1,Paguei e não recebi ,Essa loja nunca mais
58552,1084032433fca5dbe35ac72bd2e83584,Potential Loyalist,1,Produto abaixo da expecta,"Produto muito abaixo da expectativa e veio com o lacre aberto, não gostei e já solicitei a devolução do produto."
58587,4092bf290aa60e4f2d4a0dcc2f38c954,Potential Loyalist,2,MÉDIO,"Fiz a compra de 2 toner e foi entregue um de cada vez, porém na nota fiscal do 1° produto constava a entrega de 2 produtos, fiz até uma reclamação referente a produto não entregue. Favor pedir atenção"
58566,caf01fb26e84f619031d545a6e85f626,Potential Loyalist,1,Zero,"O produto chegou com defeito é o site da lannister é péssimo pra trocas, suporte péssimo !!!!"
58576,6fda7543bb462d03677057ffb9956e93,Potential Loyalist,2,pessima qualidade,"pedido com 02 itens, recebi apena 01 item. item recebido refere-se a 01 jogo com 05 toalhas, que vou usar como pano de chão.
o outro jogo solicitados não recebi, então não poderei avaliar."
59121,fd7e89f7ec246761c5196c2bbfc64d46,Potential Loyalist,2,FALTA NF,NF COM VALOR EXTREMAMENTE INFERIOR AO VALOR PAGO
59145,de7a428e09364ae6610486cebe43aa99,Potential Loyalist,1,não recomendo,"comprei uma cortina de 3x2,80. me enviaram duas cortinas, sendo cada uma de 1,50x2,80. PALHAÇADAAAAAAAAAAAAAAAAAAAAAAAAA.


se eu quisesse uma cortina de 1,50 eu comprava de 1x50, e não de 3 metros"
59088,b2b8c30ebaecd258b046a58574474c0c,Potential Loyalist,1,0,Nao recebi o produto
58995,fd3e0fb5c7f444ff252a1270d4687b05,Potential Loyalist,1,Pessimo,Nunca mais vou comprar pelas lojas lannister 
59017,ebedac088806fe85e8083426d9e952e3,Potential Loyalist,1,Veio faltando PEÇAS!!!!! ,"Produto veio faltando peças, solicito outro com urgência pois já realizei o pagamento!
Gostaria do contato, com urgência. "
60916,90e6d96b9838a8f9fdc7f89fb4325ad0,Potential Loyalist,1,Recebi a metade ,Veio apenas a metade do pedido.
