날짜,리뷰,별점
"January 19, 2022","I used two sleep monitoring software at the same time and found that Sleep Monitor was more accurate. It gives me a me a lot of my sleep insights and it helps improve it! I coughed at 3am at night, then got up and poured water, only the Sleep Monitor recorded it, I heard my cough in the recording, and saw the state of waking up in the report. Incredible. I am considering becoming a member. I have a small suggestion, I wish the notifications of sleep reminders were a bit more visible so I wouldn't forget to monitor.",5
"January 20, 2022","This small app gives me a lot info about my sleep quality and it helps improve it! Of course i‘m going premium! I'm concerned about myself as I only get deep sleep at the beginning of the night in a 1-2 sleep cycles which is roughly around 1h45 mins a night? I'm 24 years old, keep fit and healthy and try to get to bed at good timing but why am I only getting deep sleep at the 1/4 of my sleep? Never any after that! I will keep tracking if my deep sleep duration will be longer later.",5
"January 19, 2022","I've spent more than a month spent testing four popular sleep-tracking apps (along with a range of wearables). I found this Sleep Monitor Android app has an uncomplicated interface with an intuitive design, I recommend. This app offers objectively accurate sleep analysis, although app can’t replicate the experience of a traditional sleep lab, but we can use the collected statistic to lean trends and patterns, which may help improving our sleep over time. Very simple to use app.",5
"January 20, 2022","I would give 10 stars if I could. I had sleeping problems but this app helped me to find a regular sleep rhythm even without the premium upgrade. I should be getting 7-9 hours of sleep but I only get around 4-5 maximum. This has been incredibly informative. I see my REM sleep info. I was wondering do you know what stage people are in when they sleepwalk? How can you prevent nightmares? App is good to show data, but tips to improve sleep are also valuable. Hope dev can add some tips later.",5
"January 17, 2022","I have been using Sleep Monitor continuously for almost two weeks. Sometimes I forget to turn on sleep monitoring at night, which causes me to miss some reports. The overall design makes me feel very comfortable, and at least it doesn't look dazzling at night. Recording, alarm clock, sleep monitoring are all free. Music can also be unlocked by watching video ads. Perfect for someone who is not very wealthy like me! Hope the app gets better and better!",5
"January 17, 2022","I love this app. I bought it a long time ago and occasionally uses it, but the last couple of months I’ve been using it almost every single day. It really helped me get insight into my sleeping habits and what things positively and negatively influence my sleep. I do wish I had some tools to edit the end result of a night of sleep. Like manually setting my sleep quality afterwards! or setting the time I actually woke up. I like tiny sleepdiary/note taking section so you can write down relevant info for that night’s sleep would also be really nice to have (as a premium feature)",5
"January 17, 2022","Every morning I can't wait to open the app and listen to the recordings at night. I didn't know I was snoring or talking in my sleep before, but now I can actually hear it through the recording. It's an amazing feeling. The graphs in the sleep report are clear, but a small suggestion: pink is for REM, which should give an explanation or tip. I didn't know until I asked customer service. Overall great!",5
"January 17, 2022","The data from the sleep report is still pretty accurate in my opinion. I can know how long I slept at night. I also learned about sleep patterns. I know that sleep has deep sleep, light sleep, and yes, REM. Sleep music is also quite helpful for me and I love it. Christmas music is also prepared for Christmas, which is so heartwarming! I really like it. Hope the developers continue to work hard!",5
"January 17, 2022","I can't believe I was singing in my dreams at night. too crazy. I recommend everyone to try this app, you will learn about yourself at a deeper level. The information of the sleep report is very detailed, what time did you fall asleep, what time did you wake up, what did you do before going to bed, etc. Another function is the alarm clock, which is also very useful. Wake me up when I'm in a light sleep depending on my sleep situation. well done!",5
"January 19, 2022","Better healthcare than GOV insurance! I am interested in, and really need to know, how I'm sleeping. This app does that job for me. After several months' tracking, I get to know I wasn’t sleeping like I should and needed help to increase my sleep. Now I’m getting enough quality sleep consistently. You won’t be disappointed. The cost of Sleep Monitor Pro for a yearly commitment, costs almost the same as 1 cup of coffee. I strongly believe it is very well worth the investment.",5
"January 17, 2022","Sleep reporting is accurate. I am a huge fan of this app. Had used other apps before and finally settled on it for many reasons. The design is very user-friendly and the operation is very simple. Start monitoring before going to bed at night, and you can see the results in the morning. I was surprised to find that I was singing in my dreams at night, and I was shocked. Recordings are free to use. I've bought the pro now though and it's perfect!",5
"January 17, 2022","Great for monitoring my sleep. I didn't sleep well before, but I found this app when I browsed the play store. On the first day of downloading, I forced myself to go to bed early, lol. The next day, I was surprised to find that the app gave a lot of information, such as deep sleep, light sleep and so on. I didn't know these things before. So , thanks to Sleep Monitor, kind of enriched my knowledge base. Now I have good sleep habits, thank you!",5
"January 17, 2022","It has to be said that the app version is updated very quickly. I have already recommended it to my mother-in-law who doesn't sleep well, hope it helps. Tell something about my feelings. The data is relatively accurate. I can understand the basic situation of my sleep, such as how long I slept, whether I woke up in the middle, etc. The interesting thing is that I can also record what I did before going to bed. The fly in the ointment is that the sleep trend analysis should be more comprehensive",5
"January 4, 2022","Very useful app. It records sleep time, sleep cycles, and sounds in the room, picks the best time in a half-hour range for the gradual alarm to sound, offers a variety of music to encourage sleep, and more. I'm not sure why it would be so effective at improving sleep, but it certainly has been. I give it a solid 5 stars.",5
"January 16, 2022","I give it a 9+ I have tried many of these type of programs. By far I like this one the best. I need to check out more of the sleep aid 'music' at this stage I would say I would like to have a larger range of Theta sounds. But, in all fairness I have not totally searched different lists. I've only had the app, less than one week. So far love it.",5
"December 27, 2021","Cool. Kinda weird I’m being recorded while I sleep, that’s new. But very interesting. i’ve been telling a lot of my friends about this, and the smart alarm feature is so useful! i can wake up without feeling really groggy sometimes compared to regular smartphone alarms. i think the only thing they can do better is detecting snoring a little better, sometimes it thinks another person a room away snoring is me. To be perfect, it needs to add the ability to track heart rate. I would recommend it.",5
"January 18, 2022",Dev. wrote back promptly to explain that I should NOT turn off app and then turn it on again after attending to interruptions. He said to just leave it on and sound will tell the 'bot when I'm awake. So this app got 2 more stars. I will update if other solutions work for me.,3
"January 17, 2022","I must recommend Sleep Monitor to you guys. My personal sleep habits are not very good, I often stay up late, sometimes even past 3am. I saw someone recommending a sleep monitoring app on youtube, and I tried to use it 3 times. I actually fell asleep at 10 o'clock in the evening just to read the sleep report. That's the magic of this app, you force yourself to go to bed early. When I woke up in the morning and saw my sleep report, it was so satisfying!",5
"January 17, 2022","Considering I’ve used this app for more than 200 nights, I can say that it’s one of my favourite apps to date! The data collected by this app is very helpful for me to know some of my health status. It also offers music like ranning sounds to help fall asleep faster. Good! Too bad that you need to pay for the full version, but hey; they gotta make money too! How can app developers make a living if they develop a totally free app? Would definitely recommend if you need an app to track your sleeping habits and want a nice and gentle alarm.",5
"January 17, 2022","For 696 nights I’ve been using the app. It is my most recommended app to others.The various functions make this app great/unique, the smart wake up, the audio recordings, the sleep records over time, the sleep music, the sleep trends, most of the features are not got hidden behind a paywall, like the majority of functions, over time. I now have to rely on this app's alarm app to actually wake up. I need the app to wake me up in a relaxed way — that’s it. Keep up good work, dev!",5
"January 13, 2022","It's a great app don't get the wrong! But I would reconsider having that statistics as a premium feature. I'm really sad that I can see how many average hrs I sleep. Another thing is the rating after you sleep. I think you should make it so it's 1,2,3,4 or 5 stars instead of the emojis. But there's not many adds, so overall it's a great app!",4
"December 31, 2021","So far a good app to track sleep. I've been using it for about 5 days now. I check my sleep report daily. It seems I'm in a good sleep mode recently(deep sleep more than 50% of the time), which is a good thing. This app even records my movements on the bed. The recording feature is totally free to use, not like some other similar apps, recording is a locked feature. So I'll continue to use it while it's free and then I'll make my decision as to whether or not to buy it.",5
"January 20, 2022","It's accurate and good. Has all of the features I want. I've just been having one issue, for the past few months, the alarm hasn't been working. My mom has been waking me up on time for work since my alarm doesn't work.",3
"January 7, 2022","Well worth the money - I use it every night! Here’s a simple test to demonstrate the clarity this app offers. Download Sleep Monitor and use it for a week or two to get a sense of your baseline. Next, simply watch the impact of something on your sleeping. Is the sleep score lower on the nights after you consume alcohol? Is it higher on the days you have a good workout? I found the feedback from thisapp to be much more tangible and certainly more motivating than all of the advice or warnings I’ve received from doctors, trainers, etc.",5
"January 18, 2022","I bought lifetime access for $30. Devs are responsive and helpful. Google Fit integration is coming; looking forward to it. But I'd like being able to add/edit entries. The Y axis on the graphs for sleep/wakeup times should be reversed: earlier times should be on top, later times bottom. These pics are misleading: there's no timeline UI like, ""You talked in a dream at 4:27 am."" Sometimes randomly loses all entries. Better price and UI than competitors; has potential, but also much to be desired.",3
"December 24, 2021","I was looking forward to getting the recordings of what I have been saying while asleep. However, when I woke up this morning to check out the recordings it didn't have any. It mistook my sleep talking and moving for being awake instead. While I do not think that this is a faulty on the app. I do suggest that it should record speaking even if it thinks the person is awake.",2
"January 7, 2022","I really love this app. This is a all-in-one sleep app that with many features packed together: 1. Records sleep 2. wakes me up feeling great 3. Helps with sleeping 4. Provids sleep stats which are interesting to see. Also, There's an option when we want to upgrade to premium, like yearly, monthly or weekly. Wow, I wish I knew about this app sooner. Very informative. Keep doing the great work!",5
"January 7, 2022","I like this app. It helps me track # of hours of sleep, deep sleep, # of hours awake at bedtime. It rates quality of sleep and provide trends. Like what experts say, it is important to get a healthy sleep, besides diet and exercise, and this is a great app for that.",5
"January 7, 2022","This app is the most accurate sleep tracker I have found. I run it simultaneously with other sleep apps and Sleep Monitor is the most accurate on picking up times that I am awake at night. I feel like it’s classification of deep, light and REM sleep are more accurate as well. But I wish that I can see heart rate and O2 levels as well. Great app.",5
"December 28, 2021","Most apps like this have always seemed too cheesy or like a scam, but I honestly like how this one works and tracks my sleep. You do have to pay for a subscription, but if your trying to track your sleep and improve it, this is worth it honestly.",5
"January 7, 2022",Provides valuable insight into my consolidated sleep health measurements. I thought that I didn’t sleep well last night but the sleep app showed just the opposite. Perhaps I was just dreaming that I was not sleeping. According to the app (I’ve been using for over half a year) I am sleeping better than ever. I hope that the app is telling me the truth and not just trying to keep me happy. What I am doing different is sleeping early and not wasting time watching Netflix movies.,5
"January 6, 2022","I have used this app for a few years. It works well enough with some oddities. Firstly, the sleep rating system fails to take the user's opinion and the apps information into account and just rates it willy nilly. The time frame used in trends is backwards. I get up at 0600 not 1700. The dates are off. Last night was Jan. 5th, it recorded at 17/11. My sleep ""debt/surplus"" ratio is completely backwards as I have insomnia.. At least it sometimes records night sounds...",3
"January 7, 2022",I really like this app. It provides great information and is reliable and super useful to plan when to sleep to get the most sleep for work. It particularly works for me now that I can quickly recharge my Android before bed and use this app all night with power still available in the morning. I like the detailed and comprehensive data and explanations this app provides. A big thank you to the Developers.,5
"December 27, 2021",This app is great but I didn't think it would catch me crying last night cause it was so quiet other than that it is an amazing app also good to know I don't snore 😅 Edit : the music was very nice but I was horrorfied my mom would come and yell at me cause it was really loud but I think she was enjoying it to 😂 (also I was not sad last night well maybe a little but I was crying because I was really sick ),5
"January 17, 2022","Works easy, gives me insight. Also read the emails with tips for better sleep. Very Helpful! Only minus I can find is that it also records mij partners snoring and puts it on my ‘account’. Can I suggest an option to ad a tag ‘not my snoring’ or something like that? Somehow being able to make those snoring numbers accurate. That would make this a ***** rating.Thanks!",5
"January 3, 2022","It's pretty inaccurate, especially when it comes to REM sleep. According to the app, I woke up a whopping 11 times during the night with no REM sleep, despite vividly dreaming multiple times during the night.",2
"January 14, 2022",I want to like this app and have the trial version at the moment but the ads are so persistent and difficult to remove i cant use it properly. The ads pop up very loud and ugly and i have to shut the app down to stop them. Then i lose the options.,2
"January 9, 2022","This one isn't really working for me. I know it takes me at least an hour to fall asleep most days and the tracker registers this as sleep time. It's not accurate and not sensitive enough for light sleepers. You can't edit each track, either, so all of my records are inaccurate.",3
"January 9, 2022","Best sleep app. I’m ADDICTED to tracking my sleep. I have sleep apnea, a CPAP and occasionally drink alcohol. It’s so validating to see how those things can impact your quality of sleep. You read about these things but tracking them takes it to a whole new level. Thanks for making this app! At first thought it would be tough to charge my phone during the day but turned out fine.",5
"January 18, 2022","There is a area to click on specific sounds like sleeptalk, snoring, pets, etc. but it doesn't work. Sounds only come up when all sounds is clicked. I wanted to be able to isolate specific sounds.",3
"January 20, 2022",Great app! Had me asleep in 3 min. After being bombarded with purchase requests I was too tired to actually figure out how the app worked.,3
"January 6, 2022","Doesn't seem very accurate, I have been using for 4 or 5 days, and according to this I rarely ever get REM sleep, one night that I slept great it told me I was awake for 6 hours.",3
"January 9, 2022","I don't know what the face emojis are meant to express, so I don't think I've been choosing the right one. And there's no option to change if I tap the wrong one. So, the app has been pointless so far. But it seems like it could have been useful.",3
"January 7, 2022","It’s really helped give me some insight into my sleep,not just length of time sleep, but sleep quality. This is actually easier to use. I’m amazed at this new technology.",5
"January 15, 2022",So far this app has been helpful and useful which is why I gave it four stars. I wish there was a little more personalization. If I could turn off the sleep sounds I'd give it five stars,4
"January 12, 2022",Galaxy note 9 -> only recorded 1 night of audios. After that it keeps showing no noise detected even though noise levels fluctuated amd i was woke up to pee... purchased this for a full year and I want my money back!,1
"January 10, 2022",I've been using this app on and off but quite regularly but one thing that slightly botheres me is that you have to pay for a lot of things. I dont mind but it does sometimes bother me.,4
"January 11, 2022",Amazing you can use whenever you want and it comes with a relaxing sound for everyone gives options of what you have none recently like caffeine or stress there's alarms recommended best app ever !,5
"January 20, 2022",a great app and its completely free like some other apps that you have to pay to listen to the recordings,5
"January 2, 2022",Very good but if you don't mind me saying I think it's glitching as it's not recording my rem for 2 days it's impossible I haven't had any rem in 2 days? Hahaha,4
"December 29, 2021",Absolutely great! Simple and easy to navigate! Beautiful aesthetic too. Super recommend.,5
"January 19, 2022",Woke up way too early and an ad blasted my partner awake. Couldn't find a way to turn down the sound but I liked it until this happened.,1
"November 24, 2021","This is the best sleep tracking app I have found. The information it provides is valuable and pretty deep. It takes some getting used to and exploring all of its features will be a learning curve, but at the end of the day, it’s robust and complete. The graphics and user interface are superb as well - Gives me an understanding of issue that effect my sleep allowing me to make slight life style changes that make a big difference. Very worthwhile!",5
"January 6, 2022","Disappointed in this app as I'm using it to try to figure out what may be influencing my poor sleep quality after a sleep study said I didn't have apnea. Dr said it could be habits or other health issues. Chose this app to track these things but you are unable to see what ""tags"" you've logged and how often. I don't feel like it tracks my sleep well after using it for over a month. Also found out that your subscription doesn't roll over if you get a new phone. Now I've lost my data to show my DR.",2
"November 23, 2021","I’ve been using this for YEARS, and it hasn’t let me down yet. I love every bit about it.. the alarms, different sleep tracking modes, the colorful reports and relaxing sounds to fall asleep to, being able to see and understand your sleep patterns, the list goes on and on!! To say that I highly recommend this to anyone and everyone is a huge understatement. Get the app, I promise you’ll love it just as much as I do!",5
"December 9, 2021","Sleep Monitor so far has been running fine for me. It works, tracks sleep with what seems to be surprising accuracy & doesn't crash. No issues to report & have just upgraded to the premium edition :) I've tried pretty much all of the sleep tracker alarm apps on the store that looked worth their while, and this is by far the most impressive! Beautiful design, simple and elegant and great for keeping track of my sleep patterns and waking me up elegantly in the morning. Keep up the good work!",5
"January 10, 2022","I like this app , I only wish I could zoom in on the time scale of the sleep pattern but other than that it's very good",5
"November 14, 2021",I was searching for an app to track my sleeping and I found your sleep monitor. I think your work is great. I feel like it’s kind of hit or miss with the sleep trackers on watches. I know I woke up for about an hour and during that time for some reason it said rem sleep. Don’t know why seein as I got up and went tot he bathroom and everything. But I think it generally can give a good picture of your sleep maybe?,5
"November 27, 2021","Seems like a good app, but almost everything needs a paid for subscription except the absolute basics. The app really couldn't have less free functionality without being totally useless. Plus it seems like every time you touch the thing it's trying to sell you that subscription, and I mean every click triggers it. I'll probably give it s couple more days out of curiosity then delete it.",2
"November 14, 2021","The app overall is helpful & easy to navigate. But no explanation of features & there's a lot u can't customize. •I want AM/PM but it only uses military time. •""Sleep duration"" isn't when u actually slept, that's when the monitor was on & that's misleading! Can't they change it to ""monitoring duration""? •In ""Record details"" u can't click on each section to expanded. Basically, you get all kinds of facts & figures w/no explanation of what it means, or how to interpret the data in each section",4
"December 12, 2021","The reason why I only give this one star is because of the limit of things that this app does. Firstly it doesn't record everything and there is a limit to how much audio is being recorded. Secondly, it has a limit to how long you can sleep before it stops recording, and finally, it is extremely inaccurate. Do not recommend installing.",1
"December 7, 2021","Just over 5 months ago, I downloaded this app, loved it, rated it 5 stars, and have used it close to every night since. Yesterday, the app needed redownloading to update (?) Is now a separate app (?) With no access to prior records (?) And I would have to pay to access the previous app or view my records (???). Terrible. Also the app now has a permanent notification if your alarm is turned on, which is baffling. I will be looking for another app if these issues aren't improved.",2
"November 29, 2021","I love my sleep monitor app! Been using it for years now and I do not use any other alarm. In the past, before sleep monitor, I remember often waking up to an alarm feeling very groggy and tired because I was woken up likely in the middle of deep sleep. Now with sleep monitor, I am only woken up on the lightest part of my sleep and I don’t ever feel that same kind of tired grogginess I use to feel with previous conventional alarms. It’s amazing. Total game changer and highly recommend!",5
"November 14, 2021","Wonderful to be able to track the quality of my sleep. It helps me encourage myself to go to bed earlier and I always feel better after getting a lot of deep sleep. I know fitness tracker has its own algorithm, and every night our sleep is determined by the same algorithm so we can compare our day to day sleep through that same algorithm, that's good enough information and statistic to be aware of our sleep data. Just have a try for your health.",5
"November 30, 2021","I love the amount of information that this app collects. On the days that I wake up with a headache I’ve always wondered if I snore or not, and there was no way to tell until now.This app lets you see in clear terms how much you snored the during night, how loud, and exactly when (what time) you snored. So as you try various remedies you can check their effectivenessImmediately in the morning when you wake up!",5
"November 15, 2021",Last night I had the weirdest outcome ever. Around 5 AM when I hit play it sounded like there was a bomb about to go off so then I looked at the next recording under it and it was straight up beeping the entire recording. like nonstop. then there was another sound and it sounded like if you were to be making a duck face and then blowing in air. then the beeping started beeping again. I am going to see what happens tonight to see if there was anything unusual or it was just myself.,5
"November 15, 2021","I’m loving this app and must for people who are interested in tracking their sleep. One suggestion is that could you also bring in the time of sleep/awake into consideration. For example sleeping between 1am to 9am isn’t as healthy as 10pm to 6am. If you can bring a metric/ colour code for this, it would be awesome and also encourage people to sleep early. This is the most overlooked aspect in today’s world.",5
"November 24, 2021","Excellent app. Excellent features. I’m using it every day and I love everything about it! I set goals each week and it helps educate me on my sleep patterns. Worth the money. UI and accuracy of sound recordings is great, my only request would be to add “Add a nap” feature to combine naps and night time sleep together for the day. Overall, would buy again. Have recommended to numerous friends and family",5
"October 30, 2021","I bought this app about 4-5 months ago and now I get all the premium features free. One of my most used app for health. It is quite interesting to hear my sleep audios in the morning. One time I was unable to sleep and was listening to my brother chatting away to himself in his sleep. He then suddenly said, “I’m going on a murdering rampage”… yeah, that was fun for me at 3 am in the dark!!! and yes I am definitely sure he was asleep at the time haha... I definitely recommend this app.",5
"December 22, 2021","I have used this app for 4 months or so now. It’s very good at tracking how long you were really asleep, your sleep recordings, and the kinds of sleep you get. When you have odd sleep (wake up right after going to sleep, lie too still before going to sleep, etc), it might not give you perfect numbers. But that’s OK for me; it’s right most of the time and you can exclude an odd night from your history if you want. It’s a few dollars—definitely worth it.",5
"December 6, 2021","This is a wonderful app and gives great feedback on all aspects of sleep as well as many others. It's also remarkably accurate with its""sleep records"" metric. I'll think I got OK sleep but still not feeling great some morning. Look at the ""sleep records"" level and, sure enough, it's lower that day. Dig a little deeper in the metrics and you can find out why. I've used this app just about every day since I downloaded it years ago - it's fantastic. Many other metrics available and the explanation for all of them is readily available and easily understandable. Wonderful app.",5
"November 24, 2021","I have used this app for almost 3 years now and I can say that this is, without a doubt, the best alarm and sleep tracking app that is on the app market today. You can use it for fee as a great alarm. If you decide to get a subscription, like me, you can monitor your sleep patterns, record your snoring/sleep talking, and actually improve your sleep without medication. I have always had a problem with waking up with other alarms. I used to use 3 or 4 alarms to wake up but now I only use one",5
"December 9, 2021","I've used a few sleep tracking apps now and this one is definitely the best designed and most pleasant to use. I'm happy to know what happened when i/m sleeping. I have been tracking sleep for a few weeks I can see my “deep sleeping” or “awake” according the app I now sleep only 6 or 7 hours a night, calibrating does work here. The only feature I feel it's lacking is the ability to use your own music as the sleep aid.",5
"January 14, 2022","Best sleep app I have tried, far better than any other. Very informative results and listen back to any loud snoring",5
"November 30, 2021","This app has helped me navigate a notoriously tricky sleep period! I love having tools to help me get as much sleep as possible, but it also allows me to give myself grace because I can see my sleep debt is still high. I used to feel frustrated that I always felt tired even when I slept well for one night; I now realize it's not that simple! I can also help myself make better use of my waking hours by scheduling my activities based on my high and low energy cycles. I recommend this to anyone!",5
"October 29, 2021","I am grateful for this app and that I downloaded it, because my sleep is now back on regular when it used to be disrupted sleep in different times of going to bed. Without any doubt this app far out shines any other sleep tracking app in the store. I’m waking up refreshed and going to bed at a decent hour. It’s wise to have this app installed to get precise measurements. Thanks for putting time and effort into making this app. I believe that solid sleep in a normal cycle will increase longevity.",5
"November 30, 2021","Simply incredible !!!!! magnificent alarm clock in the morning, before each time I put a ringtone in alarm clock I detested it afterwards it reminded me too much of the moment when I get up, my eyes glued and saying to me ""go another 5 minutes"". And I LOVE it and you can really assess the quality of your sleep. I strongly advise.",5
"November 23, 2021","This is a great and easy to use app. I’ve been using this app for over a year now and it’s a great app especially if you are serious about understanding and improving your sleep habits. I find it to be accurate, informative and easy to understand. Always i am looking for simple apps to use , not as the other complicated. So, use this one and you will not regret",5
"December 4, 2021","The app worked well until a recent update. After the update. My sleep sounds weren't being recorded. Also after the update, my sleep patterns changed but I'm pretty sure the didn't. It showed I had more deep sleep and less light sleep after the update. Knowing how I sleep. I don't believe this to be true.",2
"December 22, 2021","I like to track all my sleep every day and see the time and quality. It’s so insightful to just look at. It gives so much more depth to the information and as I make lifestyle changes I can see the results reflected in the various aspects of my sleep patterns.Yes, this app has been instrumental in me improving my sleeping habits and the knock on from that is the improvement in my health, weight and productivity. So personally, I have to say I love this app.",5
"December 9, 2021","This app is definitely one of the the best sleep apps out there - trust me, I've had several! Even though you have to pay to access better features I'm very happy with what this app has to offer. Relaxing sounds for you to fall asleep with is my favourite feature. You can also get to read graphs about your sleep and listen to recordings of yourself sleeping. I also normally wake up grumpy but ever since I started using this app I wake up feeling refreshed and ready to start the day! I recommend.",5
"November 12, 2021","This app is life-changing. I love this app and paid for it because I’ve always had people tell me that I snore. It helped me realize that I don’t snore and that everyone was lying to me when they said that. To test this, I slept five weeks and recorded every single night. None of them has a recording of me snoring. Also sleep monitor has the edge in feature set and user interface the design of the ring is very easy to understand. I love the single overall sleep score. So thank you Sleep Monitor",5
"November 29, 2021","The app is really good. Accurate results. I especially love the gentle alarm and sometimes when I feel I've not slept as well as I might have the graph reassures me. It helped me understand how I sleep, and how good I sleep. It also puts a smile on my face when I wake up as you don't get the shock of an alarm, it's calm.",5
"December 22, 2021","I have used the app for almost three months and it has not missed a night of sleep. This app makes tracking sleep easy, accurate, and personalized. Sleep is super important for health, efficiency, mood, and happiness. This app can be personalized to my needs in order to monitor my sleep patterns and where needed to improve them. Very simple and pleased with this sleep app.",5
"November 29, 2021",Good app although I did have to pay to fully experience it and if possible and free trial period and just one thing I found a little annoying is when playing back my recordings the volume is so low even though I've turned my phone up as loud as it can go would be good so you can see how amazing the app is but also it would be really good if this data was able to be shared with Samsung health as this is what I use is this something that could be done if so this will definitely change to 5 stars,3
"October 29, 2021","All I can say about this app is that it is easy to use and it works well. I have tried lots of others and this, at least for me, has been by far the best. The information it collects reflects and supplements my real world experience. I like it so much that I have purchased a pro membership that I use for long-time data analysis. Really like seeing how my sleep and bedroom noise differs from night to night…really informative app…Love it!!!! P.s love the sleep aid",5
"November 24, 2021","This is the most fabulous sleep app in the world ever. I have recommended it to ALL my family and friends. I had access to my sleep data. I like it as a sleep aid and alarm clock and my own daily sleep notes. It has been quite fascinating to track my sleep patterns in relationship to daily activities and health trends. The gentle “wake up” feature is great, because I love to hit the snooze button sometimes.",5
"November 23, 2021","It's been working perfectly fine. I don't have any complaints yet. The monitor is very accurate and records what goes on around you while you sleep. I recommend you download this app. The sleeps sounds also aren't noisy but relaxing and calming, within 3 minutes you'll be drifting away.",5
"December 3, 2021","I have a problem with back pain that affects my sleep. I move frequenty, changing my sleeping position. I tried this app and tried to record my sleep on camera. This app in comparison to video camera record only few of my movements. For example, i made 6 movements in an hour with the similar level of noise. App recorded only 2 audio tracks.",3
"December 22, 2021","Having test a few of the top sleep apps this one did exactly what I wanted. You will ether love or hate the interface. As for me, I love how the developer has continued. I have used the app for almost three months and it has not missed a night of sleep. Leveraged my phone and gave me an amazing amount of data. App works amazingly and I love the insights I am getting from my sleep. Strong recommendation for this app",5
"November 12, 2021","This excellent app has made me realise that the length of time you sleep is not necessarily the best metre for waking refreshed but more the combination of low noise level and depth of sleep. Yet on many occasions I wake refreshed, energetic, and able to function, full of joy. On analyzing my sleep in this app I have half closed rings in deep sleep. On the nights the rings are not half-closed I am aware my sleep was insufficient, often due to external factors, which I endeavour to address.",5
"December 21, 2021",Not accurate at all. Also won't let you dive into the data. For example if you want to see how long you were awake for in-between the sleep. It only gives totals. Also I have no idea where sleep records are so I cannot delete them. So my storage if filling up!!,2
"December 26, 2021",This app has helped me keep a good sleeping schedule and it's been helping me with my insomnia!!,5
