USER,DATE,STAR,LIKE,TITLE,REVIEW
vividescapist,2022-01-13 08:45:47-07:00,5,0,Still love it after 5.5 years,"I have used this app for 5.5 years now, putting it on almost every night, and I love it. The data is so useful to me. I look back at my report from the previous night every day and since I use it consistantly I can see and interpret trends. E.g. because of this app I know that I recently started snoring, and am going to discuss it with my doctor. I think the interface is pretty easy to navigate and I can quickly pull up data from any night in the past using the calendar. The app looks nice aesthetically, and shows information clearly.

It is very effective at tracking your sleep cycles throughout the night and picking up your own sleep sounds (snoring and talking etc) without background noise affecting it very often. I appreciate that it differentiates between night sleep and a nap based on how long you slept. The low battery alert (will play an alarm if your phone is about to die no matter what time) is one of my favorite features as it gives me peace of mind that I will never miss my alarm if I forget to plug my phone in.

This is an app that you can truly have a good experience without paying for premium, but if you do want to upgrade, there is some nice additions for a decent price. I upgraded in the past but I guess when they changed the app I no longer had access to everything? They grandfathered me in though so I have like half of the premium features, and I am content with that.

Would definitely reccomend trying this app out if you have any interest in tracking your health or improving your sleep. Give it a couple weeks of consistent use so you can see what the utility is."
prl1123,2022-01-12 22:16:30-07:00,2,0,It crashes,The app doesn’t record my sleep or wake me up with the alarm at least every other night. It was reliable for the last couple years but has not worked properly for the last few months. I simply can not depend on it anymore and will look for a more reliable app
fernanda.g2022,2022-01-12 20:01:21-07:00,4,0,Great App,"I love that this app can help track my sleep. Using this app has actually given me the motivation to sleep earlier and sleep more because I realize how little i’m actually sleeping. The only thing I would complain about is the fact that all the good things are premium. I get that the app has to have some good things in the premium section but I think it’s too much. Other than that, the app is great!"
ios 5 was the best,2022-01-12 12:29:00-07:00,1,1,Suddenly Requires Sign-up,"Bye bye
After many years, they decided you must signup
Goodbye"
Slvrdragon41,2022-01-12 10:29:33-07:00,1,0,Updates Broke this app.  I plan to discontinue payments for Pro,"App worked brilliantly for first 1-1/2 years after purchase.  Recent updates have caused failure to send data to phone, crashing in the middle of the night.  Currently I’m using it as a glorified alarm, and I can use anything FREE for that.  Looking for new sleep monitoring app."
Htcsr,2022-01-12 07:22:22-07:00,2,0,"Awake, not asleep","The sleep tracker notes that I am asleep, in a deep sleep, when I’m actually awake and reading. I have insomnia, and wake up between 1-4:00, staying awake for 3+ hours. Also, the tracker notes that I’m snoring for a few minutes every night at invervals, but I had my iPad recording any sounds, and there was no sound at all of snoring. Coughing yes. iPad 8 inches away from my face. My iPhone is further away, 12-15”"
AlwaysDreaming999,2022-01-12 04:21:06-07:00,1,0,Used to be the best,This app used to be my absolute favorite. I don’t know what’s happened but it is completely unreliable at this point. It is constantly force closing part way through the night. Any time I try to use it I have to have backup alarms set because most of the time this app won’t still be running for the alarm to go off in the morning. Truly disappointing because I actually used it to track how well I was sleeping.
Better Rested in NH,2022-01-12 03:33:06-07:00,4,0,Has helped me keep a more consistent sleep schedule,"I really like the journal- showing me how long I have been in bed, how long asleep.   Sometimes it thinks I am coughing when it is my wife - but other than that it has been good and I have found it useful."
Pronoia Rose,2022-01-12 02:27:11-07:00,1,0,SOS,"Used to rave about this app so it hurts to write this but plain and simple, it doesn’t even work properly as a simple alarm any longer, let alone track accurate data. It shuts off and stops working randomly about 50% of the time. I tried uninstalling, soft phone reset, shutting down all other apps, signing out and back in, confirming all updates have been made, you name it I’ve tried to fix it from my end and nothing has helped. I’m hoping there’s time to save the ship from drowning altogether but for now, I have to find a new app."
Jhearom,2022-01-11 06:09:47-07:00,1,0,App crashing recently,"I’ve used this app for years and it was incredible. However it has been crashing overnight lately (and the last 4 work nights in a row!), which is a nonstarter for an app that I’d like to rely on. I’ll take the abrupt wakeup of another alarm for now. Give me a reason to believe in y’all again."
Derek4real,2022-01-11 05:13:34-07:00,2,0,Crashes when using snooze,For the 2nd time in a month I was late to work because the app crashed when using the “tap to snooze” function. Plz update and patch
thatcjkid,2022-01-10 21:56:20-07:00,1,0,Account expired???,"I have had this app for probably a decade. It's always been on each phone I get. I was logged out and forgot my password of course, because I made and bought this app so many years ago. 

I reset my password and now it won't let me log in and says the account is expired. That is absolutely ridiculous."
GirthyHCock,2022-01-10 15:43:00-07:00,3,0,When it works it’s great but randomly stops working way too often,"Does help you feel less drowsy when waking up, but a quarter of the time the alarm just shuts off for no apparent reason"
abbyhun,2022-01-10 06:42:19-07:00,5,0,OMG… I snore!,"I never knew I snored and this app shocked the bajeesus out of me when I heard myself on the recording. That information was super beneficial to me. 

I’m giving the app 5 stars because it makes me excited to log my sleep and I have valuable insights from it. That being said, There are still some bugs in the app that I hope are worked Thru … there have been several nights that I don’t feel the data has been accurate as far as time gone to sleep and awake hours compared to the hours I’ve actually been asleep. It also doesn’t merge the data in a 24 hour cycle to show total hours slept ex: I go to sleep at 12 midnight….Wake up at 1 am …stop the app and get up because I am not going to lay in bed tossing … start the app again when I go back to bed at 3 am and wake up at 10am… and then maybe I have a nap in the afternoon,  the data shows I had a 1 hour night and a 7 hour night and another 1 hour sleep… not 8 or 9 hours of sleep in that 24 hour cycle. I wish there was a way to merge all the sleep in a 24 hour cycle so I could see hours slept in a day. Maybe there’s a way to do that and I haven’t found it. 
Overall though I am enjoying the assistance this is giving me to regulate my sleep hours.  Just knowing the app is on will make me not pick up my phone in the middle of the night for “screen time” etc, it makes me think about honoring a sleep cycle. Also just knowing the recording is on makes me feel better knowing what’s going on while I’m asleep. So yes I would definitely recommend giving this app a try."
39473291,2022-01-09 10:54:57-07:00,3,0,eh….,It’s not that good you have to buy a premium just to hear u snore cough ect. And you can’t even see the diagram of your sleeping unless u buy a premium.  I find it unfair that some of us cant hear ourselves.
Lurvinator,2022-01-09 09:37:24-07:00,3,0,There are some nice things but other annoying things,"I used a different sleep app for years before coming to this one. The reason I stopped using my old one, sleep bot, was because the app had been taken off the App Store and when I upgraded to my latest iPhone, Apple wouldn’t let me download it since it was no longer listed. So after having used an app for the better part of 6 years, there is certainly an adjustment period to the new perks of a different app. Sleep cycle was the recommended app so I downloaded it and tried it out. At first I was impressed with it and even went out of my way to pay for premium. But since then I’ve been whelmed with what the app can do. First I’ll say what I love:

WHAT I LOVE ABOUT THIS APP: the wake up system. The app has three wake up modes. Two are alarms and one is with no alarm. No alarm is pretty self explanatory, just use it on a morning you don’t need to wake up. Then you have no wake up window and wake up window. No wake up window is a standard alarm that will go off at the time you select it to go off. Wake up window will begin to wake you up 30 minutes before your set wake up time. I’ve found this to be very helpful as I can be a heavy sleeper and have slept through alarms in the past. It will begin to play a soft alarm and will go off as soon as you pick up your phone. Then it will automatically go into a snooze setting getting shorter and shorter as you get closer to your set wake up time. This has helped me for sure as I’ve been able to wake up around the time I needed to.

WHAT I DO NOT LOVE ABOUT THIS APP: there’s a couple of things I don’t love about this app. Other users have reported this as well, but the app tracking your ‘actual sleep’ is inaccurate. I don’t know what causes the app to think I get less sleep than I actually do, but the app always reports I had less sleep the night before. I started Cpap therapy in June of 2021, and my Resmed has an app that tracks my sleep through the machine. The cpap can tell when I’m asleep based on my breathing patterns and it always comes out with a longer time than what the SC app does. And it’s not the difference in 10 or 20 minutes. It’s a couple of hours difference. For example: if I’m in bed for 7.5 hours, SC will say I was only asleep for 5.2 hours. My cpap will read that I was asleep for close to 7 hours. I understand the cpap has the advantage of monitoring breathing over the SC monitoring sound, but I can’t use something that’s going to be so inaccurate. 

My other complaint is the fact you cannot stack your times in bed. Let’s just say, it’s early in the morning and I get out of bed to go to the bathroom or I’ve just woken up in the morning. I wake up the app to see my time and see “oh it’s only been 6 hours, I can go back to bed” when ever you turn the app back on the go back to sleep, it begins a new entry! And a lot of the times, it won’t count that entry because it’s too short to register once you wake up after an hour. The app should have an option to check your sleep times without interrupting the app or vice versa, be able to add more sleep time to an existing day. This shouldn’t be too difficult either if the app recognizes dates starting at 12 Noon instead of 12 AM. 

Overall, this app is alright but some of the key features of the app leave a lot to be desired."
game recommeder,2022-01-09 09:12:37-07:00,5,0,Such a good app,Yay great love this
FreeTibet.,2022-01-08 09:47:01-07:00,5,0,Sleep Cycle Keeps Track of My Sleep,"This app is great to see what sleep cycle one is in during the duration of a night’s rest. Helpful tool if you want to feel better rested and have a knowledge of what stage you are in during one’s natural sleep cycle. Alarm feature is useful, too."
DocKoko,2022-01-08 03:48:36-07:00,1,0,Try premium bar gets in the way,"I understand they want me to try the premium service, but I don’t want to pay for it. Now they’ve added a bar that gets in the way of using the product. I’m about ready to stop using it. I’m certainly ready to go look for other apps that I might use instead. It’s not really that accurate anyway. A lot of times I will get up in the middle of the night and even be using my phone and the app registers that I’m still asleep."
beboo1,2022-01-07 09:15:04-07:00,5,0,Love the app but…,I have recently come a crossed where the app closes its self out when I have an alarm set!!!! Today I actually missed a meeting!  Is this a glitch?
jimmy_pop89,2022-01-07 04:33:02-07:00,1,0,Unreliable.,"End of an era. I’ve been using Sleep Cycle for years. I was one of the original premium users. It’s been a favorite app of mine forever. 

Until recently. Over the last few months, the app has just been acting strange. Hasn’t been recording sleep data like it used to, the snooze wouldn’t work right some mornings, the alarm sound would be different. Little annoying things. 

Then this week, the worst. For the second time this week, I’ve overslept because the alarm never went off. The app displays the “Good Morning” screen as if the alarm went off — but it never played any sounds.The first time it happened, I thought it was something that I did wrong, because again, I’ve been using this app for years and it’s never done that. But the second time within a few days? Yeah… no. 

So that’s it for me. An app I’ve loved for years I have totally lost trust in over just a matter of days. 

See ya around, Sleep Cycle."
PugPuppyPumpkin,2022-01-07 03:16:08-07:00,1,0,…,don’t wake me up at 4 am because my battery is at 10 percent
Matthew Horvat,2022-01-06 11:56:59-07:00,4,0,Screen isn’t black?,Love the app and all the features but why doesn’t the screen go actually black at night? I have this soft lit glow of a black screen instead of it actually just being turned off.
QtheDOC,2022-01-06 09:08:54-07:00,4,0,Thank you for giving us the data,"I’ve loved sleep cycle for many years now and just found a way to love it even more: you can download your sleep data! These days having access and control over your own data is very important. More companies should be like this.

Ok Update, there is a lot of data here, I wish they had a cloud feature where the data didn’t need to be stored locally. The size of this app is getting out of hand on my phone."
liliumtigre,2022-01-06 03:28:05-07:00,5,0,Calming start,The first alarm I’ve ever found that truly wakes me up gently. Great way to start the day ☀️
neeci44,2022-01-06 02:52:08-07:00,5,0,I sleep Better,I like that I can hear what goes on when I’m asleep. I can hear my dogs snoring too. I hear my dogs up too. I can hear when my son gets home late. I like the clock noise it puts me to sleep right away. I like that I get to wake up slowly. I like that I can test my heart rate.
thegreatchapatu,2022-01-05 19:02:20-07:00,5,0,Fantastic app for sleep,I’m not much of a reviewer but for this app I had to put a review. First I’d like to say thank you to the devs. I have been using this app for awhile now and am thoroughly enjoying it. I love the sounds and reports I get about my sleep. I even have it linked up to my watch. If anyone is looking to understand their sleep more then check the app out and upgrading to premium is well worth the price. I would like to to be able to buy premium for others and gift it. Maybe that’ll be something in a future update. Now it’s almost bedtime so I’ll go stroll through the meadows as I drift to sleep.
Wes Kronberg,2022-01-05 06:04:56-07:00,5,0,Sleep,"I find it very interesting.
 I reflect on what I did before I go to bed to see if what I do effects my sleep."
Easy does it in savannah,2022-01-05 05:22:16-07:00,2,0,Was good but now it’s not working right,I have been using this app for over a year now and never had any issues until recently. Now it just turns off at like 1am and then I have no alarm and I wake up late. I’ve had to delete it and go back to my traditional alarm which stinks but I have to have something reliable.
trying to like the Apple we,2022-01-05 02:58:07-07:00,1,0,Over priced,I accidentally downloaded the app and realized it cost 29.99. I tried cancelling immediately…”there was a problem” I want to cancel and not be charged…and they even warn you to cancel before the end of the one week trial. They don’t make it easy to cancel. Just frustrated.
ChainedRadioHost,2022-01-04 00:14:22-07:00,4,0,"App is great! I have a reoccurring issue that makes the experience a bit worse, however.","Like the title says, I’ve been having this issue recently where the sleep aid that I select as part of my paying for this premium service, the sleep aid just randomly stops on me. Not sure why. It will just cut off after a minute or two. I checked the settings, set the fade out to 90 minutes, all sorts of stuff like that- but nothing has changed. 

Other than that issue- this app has done wonders in getting my sleep schedule on track, and being able to monitor my sleep behavior gives me a really interesting insight into my life, which I like."
Frespirt1002,2022-01-03 21:30:08-07:00,3,0,29.99/year,"I don’t want to pay for this app. My friend recommended but she didn’t say I had to pay for it. How can I get out of this?
Was not aware there was a free version, thought free trial leads up to full version.  Thanks to developer for this information.."
Student 123456789,2022-01-03 20:18:40-07:00,2,0,All I wanted was to see if I snore,"I’m sure it’s a well designed app, but there’s no way I’m paying $30 to hear myself snore. I’d much rather they have a version with ads and slightly more features free."
miss Caci left he,2022-01-03 18:52:23-07:00,5,0,I love this app,I really love this app. It wakes me up whenever I’m not tired.
Evermore1968,2022-01-02 22:36:25-07:00,1,0,Doesn't work in 2022.,"I've been setting my sleep app since 2019 or 2020, but this app doesn't work all of a sudden, and there is no calendar for 2022. I've been setting my app nightly, but it won't record or show any data beyond 12/31/21. 
My subscription is good until August 2022. Of course there aren't any settings to fix this, and not a single word about it on the app.
This is a ripoff. I'm owed another 8 months of service! Not happy."
Guyyyyyyyyyyyyyyyyyyy,2022-01-02 21:18:12-07:00,2,0,Apple Watch data missing if wake up early,"If I wake up early and stop the alarm manually on my Apple Watch, my sleep data does not get saved"
RisingRae,2022-01-01 20:33:10-07:00,4,0,Money and alarm,"I love this app mostly because it wakes me up gently, so I have a good wake-up because of that. I do really wish that most of it didn’t cost money, especially listening to what happens in your sleep cycle and adding more 30 minute sounds for when I’m trying to fall asleep easier. One more thing that I think would be a cool addition is being able to stay on call with someone while the alarm  is running because I’m not able to go asleep with friends or my boyfriend on call using the app because it won’t let me at the alarm. All in all I think it has a lot of potential and is a good app."
mkjnm,2022-01-01 18:07:18-07:00,4,0,4/5,"Not very accurate since it only relies on the microphone, but without a smartwatch this is probably the best a free app can do."
Bklein31,2022-01-01 04:36:59-07:00,1,0,Don’t waste your time with this one!,"I have been using it for over two years and it used to be great, but in the last 6 months, it has had a lot of problems being reliable. I even upgraded to the paid version every year! I would make sure I set it every night, but more than half the time, it would just randomly stop working in the middle of the night. Sometimes it would get an hour of data, and other times, nothing. Support is useless."
rampats,2021-12-31 05:53:57-07:00,1,0,COSTS MONEY,"They make you pay 30$ just to hear yourself in your sleep, it’s a scam"
MyaS5,2021-12-30 09:53:46-07:00,1,0,I submitted a help request,"And will revise my rating once I see how it’s handled. My problem is, I don’t see how to tell here much total time I spent in each sleep phase per night."
jwillswi,2021-12-30 06:08:21-07:00,2,0,Misses almost all sleep talking,"I downloaded this app after getting another sleep app. I ran both last night after suspecting that this app isn’t recording all of my sleep talking. My suspicion was correct because the other app had full sentences of sleep talking and this app…..didn’t. And hasn’t since I started using it. I would love to be refunded for the purchase since it doesn’t work like it should. 

On a positive note, the sleep stories and sounds along with the alarm are pretty good. But I wanted the app specifically for recording funny sleep talking. 

Disappointed."
kaptian kaboom!,2021-12-30 05:21:54-07:00,5,0,Awesome APP,Awesome APP
Pretty Hot Thang,2021-12-30 04:30:30-07:00,4,0,GREAT APP! But........,"This is by far one of the best apps on the market. As an entrepreneur, it helps to wake up to soft, natural tones and this intuitive app is the BEST at waking me up gently without making me feel groggy. The only suggestion I have is to include a feature where you can set an ongoing alarm or set an alarm for each day at one time in case you fall asleep early/unexpectedly and forget to set your alarm. It helps not having to manually set your alarm every day. Otherwise, great job!!! 👍"
ToonRPGGamer,2021-12-30 02:53:35-07:00,3,0,Another review,"I contacted the developer first with issues, but since there was no response, I pasted here."
kimbee1979,2021-12-28 17:40:47-07:00,3,0,"Seems good so far, but…","I downloaded the app, and used it on night one. Seems to work well, but to use the advanced features you have to pay $30 for premium. I went ahead and pulled the trigger, there didn’t seem to be an option for a free trial like other apps. Later I discovered they had sent me a coupon code for the first year free - it had gone to my junk folder. I tried to use the link to hopefully get a refund, but no dice. Hopefully the app proves useful and not a waste of $30."
Jiu_Jiu,2021-12-28 08:09:48-07:00,1,1,A 5 star until recently,"I’ve used this app for years without issues. I’m the past month or two I’ve had multiple issues, and I no longer feel confident using this as my only alarm. I will happily update my review when these issues get fixed. 

How I use it: wake up slowly or just monitoring. I then turn on a 35 minute timer set to “stop playing” at the end of the the timer, and turn on music. Yes, this messes up the first 35 minutes of accurate sleep tracking, but it has never affected my waking up. 

Last night was a repeat of what issues I’ve been having. I turned on the sleep timer at 11:15pm (along with the timer and music), woke up at 4am. Stayed awake for a bit playing a mindless game on my phone. This app was still running, and I didn’t turn it off. This morning, the app wasn’t running. It showed zero data from last night. 

Multiple times I’ve woken up in the morning and my alarm hasn’t gone off, the app isn’t running, and there’s no data. I would at least have expected that it would show the data from the first part of the night. 

Now I don’t feel comfortable having this as my only alarm, and I set a backup. 

Please fix this issue. It makes this app unusable."
Robsesclee,2021-12-28 02:17:20-07:00,2,0,"Was great, until sleep quality algorithm stopped working",I always thought this app was tremendous but all of a sudden the sleep quality algorithm has become really unreliable   I’m not sure how almost 8 1/2 hours in bed with over 7 hours asleep rates 55% sleep quality.
mikehagans,2021-12-27 22:55:19-07:00,1,0,Disappointing - never again,"I recently had to switch to android. Sleep Cycle is available on both platforms.  I logged in to my sleep cycle account on the android phone using my appleid… my history transferred, but I no longer had the features I had paid for already (when you could just buy a premium license)- like brown noise as my sleep aid.  Now they want me to subscribe to premium to get a sleep sound I already paid for?!?!  Come on.  That’s very unfair.  I don’t care about the other premium features- I just want my paid-for sleep sound back.  Not cool  Sleep Cycle."
PhelineCat,2021-12-27 10:34:05-07:00,5,0,Scientifically sound,"№ 3
I sometimes provide information about the sounds recorded but they're missing a few: gasping and sighing pop up often lately since I'm missing my CPAP machine. 
———————–––----–—–—— ——–——————— № 2 
{Wouldn't it be great if the App Store had paragraph breaks for reviews? They don't so I experiment adding lines to varying degrees of success.}
———————–––----–—–—— ——–———————
№ 1
I've used this since they launched and it's great. It only keeps getting better. Sometimes an addition satisfies curiosity but some is important- do you know how many hours of sleep you're *really* getting? This can help you figure that out."
Amathyst98,2021-12-27 07:21:40-07:00,1,0,Doesn’t work with Apple Watch,I gave it a one star because it does not work with my Apple Watch.  That’s what I thought it was supposed to do. Apparently you are supposed to take the phone to bed with you while on a charger to detect movement. Not what I wanted to do.
John715538,2021-12-27 00:22:58-07:00,4,1,"Overall it’s great, just a few things to improve","Overall it’s great, just a few things to improve:

- show spo2 and other data from Apple Health
- change wake up mood if select one by mistake
- add custom labels for sound records
- an option to continue recording after alarm is stopped"
balenwoon,2021-12-26 09:27:50-07:00,2,0,Kinda disappointed,"It wasn’t the best for me because I kept wanting to listen to the recording that happened over night, and it said that I had to pay but I didn’t want to pay, so I was disappointed that I could hear the recordings."
Kerosan41,2021-12-26 07:02:01-07:00,1,2,Broken in latest version,"Newest version shuts off/ resets alarm in the middle of the night. App is completely useless and unreliable currently. 

Still no response from the devs on their broken app."
daddyaddy101,2021-12-25 22:15:55-07:00,1,0,Terrible,Downloaded the app and the first night I tried it I woke up and checked it but it kicked me out of the app while I was sleeping and didn’t even work 😐
OtterSpayce,2021-12-25 21:02:54-07:00,5,0,Worth it,"I have used this app for a good while. It has helped me see certain positive as well as negative patterns in my habits that affected my sleep. This app is great at keeping track of your sleep and helping you stay disciplined. Honestly haven’t really used the sleep sounds aspect of it due to my fiancé, but the rest of the app is amazing. Do recommend"
disgruntled kathy,2021-12-25 20:28:13-07:00,3,1,Sleep goal can’t be edited,I can access the sleep goal but it won’t let me change anything and it keeps resetting my alarm. Clicking on the pencil does nothing and there is no way to turn the sleep goal off
MommAtoZ,2021-12-25 06:43:41-07:00,2,1,Want to love it,"I want to love this app. I have used it for years to track my sleep habits.  Unfortunately, recently it has been unreliable and inconsistent. The app has cut off at least two or three nights per week for me and my phone alarm never went off. It often records my husband’s activity, which is completely understandable but there’s no way for me to edit it and indicate that I was still asleep during that time. The biggest issue for me though is the unreliable alarm feature and it is reason why I will be deleting the app and searching for a new app."
grtyfvju,2021-12-25 05:59:58-07:00,1,1,Reports data,If I’m going to pay for app then it shouldn’t be reporting my data to anyone especially Facebook.
BeachBummette,2021-12-25 04:55:14-07:00,5,0,Great app,"This app has been very helpful for me to refine my sleep habits and get them more on track. Many nights it has made me fall asleep within 10 minutes, which for me is very unusual. I recommend this app to anyone working with sleep habit issues."
ball-licker720,2021-12-25 01:52:13-07:00,4,1,"I love it, and use the app every night but…","I love this app and use it every night but the alarm setter is an hour fast.
Like
If I set it to 4am, it will go off at 3."
