타임스탬프,나이가 어떻게 되시나요?,성별이 어떻게 되시나요?,현재 어떤 신분이신가요?,수면과 관련하여 어려움을 겪으시나요?,스마트 워치를 사용하시나요?,스마트 워치를 차고 주무시나요?,수면 어플을 써보신 적이 있으신가요?,어떤 어플을 쓰셨나요?,어플을 사용하신 이유가 무엇인가요?,가장 잠이 필요한 시기나 순간은 언제인가요? (ex. 시험 기간),잠을 잘 못 잘 때 어떤 방법으로 해결하시나요?,가장 잠이 필요한 시기나 순간은 언제인가요? (ex. 시험 기간),잠을 잘 못 잘 때 어떤 방법으로 해결하시나요?
11-24-2021 13:58:17,36,남성,직장인,7,예,예,네,슬립사이클,수면 모니터링,항상,뒤척거리거나 베게를 바꿔보거나 침대를 옆으로 누워보거나 이불을 바꿔본다,,
11-24-2021 14:12:20,28,여성,직장인,9,예,예,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도, 코골이, 이갈이 등 녹음",매일,하루를 제일 지치게 보낸다. ,,
11-24-2021 15:29:53,26,여성,직장인,10,아니오,아니오,아니오,,,,,"자격증 준비 기간, 출근 전 취침",맥주
11-24-2021 17:16:14,30,남성,직장인,8,예,아니오,네,자연소리 재생어플,수면 유도,다음날 새벽에 출근하는날,"명상음악이나 자연소리믹싱어플, 백색소음 등등",,
11-24-2021 17:44:03,33,여성,직장인,7,예,예,네,슬립사이클,"알람, 수면 모니터링, 코골이, 이갈이 등 녹음",늘,바디스캔명상,,
11-24-2021 17:53:41,29,남성,직장인,3,예,예,네,오토슬립,"수면 모니터링, 수면 분석 리포트",일요일 밤,술을 마십니다,,
11-24-2021 18:00:39,25,남성,학생,5,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트","다음 날 일찍 일어나야하는 날, 오전 9시 수업이 있기 하루 전 날",그냥 침대에 누워있음,,
11-24-2021 18:55:22,32,남성,직장인,7,예,예,네,슬립사이클,"알람, 수면 모니터링, 코골이, 이갈이 등 녹음",항상 필요해요... 코골이와 이갈이가 심해서 그런지 매일이 자도자도 피곤해요,잠이 잘 드는 나만의 자세를 합니다. 엎드려서 왼팔에 얼굴을 묻는 자세에요 ,,
11-24-2021 20:49:18,31,여성,직장인,6,예,아니오,네,슬립사이클,"수면 모니터링, 수면 분석 리포트",매일,아이마사지기를 하거나 온열안대를 차고잔다,,
11-24-2021 20:57:13,24,남성,직장인,1,아니오,아니오,아니오,,,,,일찍 어딘가 가야할때 ex)여행,못잔적없음
11-24-2021 22:31:13,22살,여성,학생,8,아니오,아니오,네,슬립사이클,수면 분석 리포트,시험기간,눈을 감고 있는다,,
11-24-2021 22:53:43,35,여성,직장인,8,예,예,네,슬립사이클,"수면 모니터링, 수면 분석 리포트",매일,수면유도제 향초 음악 ,,
11-24-2021 22:57:23,28,남성,직장인,8,예,예,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트",평소 / 업무량이 매우 많기 때문,,,
11-24-2021 23:16:55,33,남성,직장인,10,아니오,아니오,아니오,,,,,평일,술마시기
11-24-2021 23:17:20,29,남성,시험 준비생,8,아니오,아니오,아니오,,,,,시헌기간,억지로 잘려고노력한다
11-24-2021 23:55:12,20,남성,학생,8,예,예,네,슬립사이클,수면 모니터링,시험기간,,,
11-25-2021 0:24:28,32,남성,직장인,9,예,아니오,아니오,,,,,더 일찍 일어나야하는 상황,일찍 자려고 하거나 수면안대를 사용
11-25-2021 1:50:10,29,여성,직장인,7,아니오,아니오,아니오,,,,,중요회의 전날,모닥불 ASMR 
11-25-2021 7:35:58,30,남성,직장인,7,아니오,아니오,아니오,,,,,일요일,노래들으면서잠
11-25-2021 10:09:45,27,여성,직장인,5,예,아니오,네,오토슬립,수면 모니터링,"일이 몰린 날, 전날에 효율적으로 잠을 자지 못한 날, 심적으로 불안할 때","3/7/8 호흡법, 안 될 때에는 아예 잠을 포기함.",,
11-25-2021 10:27:13,29,남성,취준생,10,예,예,네,슬립사이클,"수면 모니터링, 수면 분석 리포트",매일,뒤척임,,
11-25-2021 11:14:14,27,남성,학생,6,아니오,아니오,아니오,,,,,"바쁜 일정을 소화할때 (컨퍼런스, 대회, 시험기간, 강의 내용 준비)",잠이들때 까지 깨어 있는다
11-25-2021 14:20:29,27,남성,직장인,7,아니오,아니오,아니오,,,,,이직 준비기간,회사 점심시간에 쪽잠
11-25-2021 14:55:28,23,여성,학생,8,예,예,아니오,,,,,출근 전날,잠이 올때까지 기다렸다가 잠을 잔다. 일어나는 시간은 동일하개
11-25-2021 17:54:11,24,여성,직장인,8,예,예,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도, 코골이, 이갈이 등 녹음","학기 초, 학기 말 행정 업무가 쏟아질 때",포기하고 수면 후 다음 날 후회한다,,
11-25-2021 22:06:51,27,남성,직장인,7,아니오,아니오,아니오,,,,,"평소 잠이 드는데 시간이 오래 걸려요. 바이오리듬에 맞는 수면 패턴이 있다고 하는데, 닥터도지가 솔루션이 되길 바랍니다!",
11-25-2021 23:45:48,25,여성,직장인,5,아니오,아니오,네,슬립사이클,수면 모니터링,금,항상 피곤해서 잘 수 잇음,,
11-26-2021 0:33:56,21,여성,학생,9,예,예,아니오,,,,,몸은 피곤한데 잠이 안오는 순간,몸이 더 피곤해질때까지 유튜브를 틀어놓다가 한계일때 끄고 자거나 틀어놓고 보다가 잠든다
11-26-2021 0:55:48,26,남성,학생,9,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도",매 순간,오디오북 등 재생하면서 수면,,
11-26-2021 1:08:45,21,여성,시험 준비생,10,아니오,아니오,아니오,,,,,"시험기간, 알바 때",피곤하면 에너지드링크 섭취
11-26-2021 1:11:32,27,남성,직장인,7,아니오,아니오,아니오,,,,,여행 전 날.,기상.
11-26-2021 1:43:47,23,여성,학생,6,아니오,아니오,아니오,,,,,시험 기간,"Asmr 듣기, 잠 포기하기"
11-26-2021 5:13:53,21,남성,학생,8,예,예,아니오,,,,,시험기간,밤샘을해서 수면패턴을 맞춘다
11-26-2021 8:51:26,25,여성,직장인,8,아니오,아니오,아니오,,,,,평일,그냥 침대에 계속 누워있습니다
11-26-2021 9:24:18,29,여성,직장인,8,예,아니오,아니오,,,,,항상,Asmr틀어놓기
11-26-2021 12:24:23,23,여성,취준생,9,예,아니오,네,sleep,"알람, 수면 모니터링",시험기간,그냥 누워있는다,,
11-26-2021 13:42:03,20,여성,학생,10,아니오,아니오,네,sleep as android,"수면 모니터링, 수면 분석 리포트","등교 기간, 시험 기간","정신과에서 불면증 약을 받아 먹고 있다
마그네슘, 레시틴, 엽산 등을 챙겨먹고 있다
잠이 올 때까지 다른 것을 한다
수면유도제를 먹는다
술을 먹는다
",,
11-26-2021 13:48:53,23,여성,취준생,10,아니오,아니오,아니오,,,,,매일,유튜브 틀어둠
11-26-2021 13:59:52,36,남성,프리랜서,4,예,아니오,네,Do i snore and grind,"코골이, 이갈이 등 녹음",프레젠테이션 전날,따뜻한 물을 마시고 모든걸 셧다운 한다는 느낌으로 잠을 청함,,
11-26-2021 14:04:54,28,여성,학생,8,아니오,아니오,아니오,,,,,오전에 일정이 있을 때,잠이 올 때까지 불 끄고 누워있거나 휴대폰을 함
11-26-2021 14:05:02,25,여성,취준생,8,아니오,아니오,아니오,,,,,회사 서류제출할 때,유튜브에서 Asmr듣기
11-26-2021 14:05:48,27,여성,취준생,8,아니오,아니오,아니오,,,,,시험기간,음악 감상
11-26-2021 14:06:12,22,여성,학생,5,아니오,아니오,아니오,,,,,시험 기간,눈을 감고 최대한 자려고 노력한다 ..
11-26-2021 14:06:43,21,여성,학생,10,아니오,아니오,아니오,,,,,알바전날,Asmr을 듣는다
11-26-2021 14:08:01,26,여성,취준생,3,아니오,아니오,네,슬립사이클,"알람, 수면 분석 리포트",밤을 샌날이나 많이 걸은날,최대한 방을 어둡게한다,,
11-26-2021 14:08:05,22,남성,학생,10,예,아니오,아니오,,,,,시험기간,운동 등 몸을 최대한 피곤하게 만들어요!
11-26-2021 14:09:11,26,여성,직장인,3,아니오,아니오,아니오,,,,,매일,유투브에서 asmr듣기
11-26-2021 14:11:40,25,여성,학생,8,예,아니오,아니오,,,,,매일,Asmr 듣기
11-26-2021 14:17:32,24,남성,학생,4,예,아니오,아니오,,,,,낮잠,유튜브 백색소음
11-26-2021 14:21:22,25,여성,취준생,3,아니오,아니오,아니오,,,,,시험기간,잠이 올때까지 기다린다
11-26-2021 14:24:36,24,여성,학생,7,아니오,아니오,네,필로우,수면 모니터링,과제로 인해 며칠간 못 자서 이러다 죽는 게 아닐까 싶을 때,해결을 못한다..ㅠ 못 자고 몸이 쇠약하면 가위 눌리고 또 스트레스 받아서 못 자고의 연속,,
11-26-2021 14:30:16,25,남성,직장인,1,예,아니오,아니오,,,,,밤,수면유도 음악 틀고 자기
11-26-2021 14:33:17,29,남성,직장인,6,아니오,아니오,아니오,,,,,바쁜 일정 속에 낮잠이나 밤에 잘때,유투브 수면 음악
11-26-2021 14:37:01,52,남성,직장인,6,아니오,아니오,아니오,,,,,밤,기다림 
11-26-2021 14:37:23,23,남성,학생,8,아니오,아니오,아니오,,,,,"중요한 일이 있기 전날이나, 체력적으로 힘든 시기.",따뜻한 물로 씻고 나와서 유튜브로 음악을 듣습니다
11-26-2021 14:37:35,53,남성,직장인,2,아니오,아니오,아니오,,,,,매일,자세를 바꿈
11-26-2021 14:37:35,24,남성,취준생,7,예,예,아니오,,,,,평소,낮잠을 잠
11-26-2021 14:39:09,52,여성,직장인,5,아니오,아니오,아니오,,,,,퇴근후,인터넷 써핑
11-26-2021 14:41:12,54,남성,프리랜서,2,아니오,아니오,아니오,,,,,밤,유투브 수면음악
11-26-2021 14:41:27,51,여성,직장인,8,아니오,아니오,네,슬립사이클,알람,피곤할때,술한잔,,
11-26-2021 14:41:42,52,여성,프리랜서,9,아니오,아니오,아니오,,,,,피곤할때,음악을 듣는다.간단한 스트래칭
11-26-2021 14:42:05,53,남성,프리랜서,6,아니오,아니오,아니오,,,,,매일,강압적으로
11-26-2021 14:43:25,36,여성,직장인,5,아니오,아니오,아니오,,,,,매일,유튜브 영상에서 수면 유도 영상을 틀어요(요즘은 거의 매일)
11-26-2021 14:47:57,54,남성,직장인,2,아니오,아니오,아니오,,,,,토요일저녁 ,조용한 티비시청
11-26-2021 14:53:34,24,여성,취준생,1,아니오,아니오,아니오,,,,,다음 날 중요한 시험이나 면접이 있을 때,유튜브에서 조용한 음악 리스트를 찾아 듣는 편
11-26-2021 14:54:30,53,남성,프리랜서,9,아니오,아니오,아니오,,,,,프로젝트진행기간중,맥주2캔마시기
11-26-2021 14:57:08,44,여성,직장인,6,예,아니오,아니오,,,,,새벽,계속 눈 감고 있는다
11-26-2021 14:57:39,50,남성,직장인,9,아니오,아니오,아니오,,,,,새벽기상,명상 호흡
11-26-2021 15:02:33,25,여성,학생,9,아니오,아니오,아니오,,,,,다음날 일찍 나가야 할 때,"그냥 눈 감고 누워있거나 수면 안대, 릴렉싱 스프레이 등 사용"
11-26-2021 15:04:22,52,남성,프리랜서,1,아니오,아니오,아니오,,,,,저녁,그런일은 없슴
11-26-2021 15:09:58,26,남성,직장인,4,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트",항상,유튜브를 본다,,
11-26-2021 15:10:01,50,남성,직장인,6,예,아니오,아니오,,,,,육체피로,쪽잠
11-26-2021 15:13:52,55,남성,프리랜서,2,아니오,아니오,아니오,,,,,졸릴때,그냥 이불 덮으면 잠이 옵니다
11-26-2021 15:19:18,28,남성,직장인,7,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링",야근 후,비타민 섭취,,
11-26-2021 15:21:10,56,여성,프리랜서,3,아니오,아니오,아니오,,,,,평소에,"그냥눈감고있는다
"
11-26-2021 15:21:31,53세,남성,프리랜서,8,아니오,아니오,네,수면유도음악  및 빗소리등,수면 유도,중요한 미팅을 앞두고 있을때,"이른 저녁식사, 운동, 수면유도 음악",,
11-26-2021 15:34:30,24,여성,학생,8,예,예,아니오,,,,,수업 시간,유튜브 asmr 영상 시청
11-26-2021 15:50:06,26,남성,학생,7,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링",그냥 항상...,그래도 누워있거나 운동,,
11-26-2021 15:55:54,25,남성,학생,10,아니오,아니오,아니오,,,,,시험기간,드라이기 asmr을 듣습니다.
11-26-2021 15:58:57,22살,남성,학생,7,아니오,아니오,네,기억 안남,수면 유도,알바 후 수면패턴 맞출때,수면유도제 복용,,
11-26-2021 16:16:31,22,남성,직장인,1,아니오,아니오,아니오,,,,,다음날 근무설때,옆으로 누워서 잔다
11-26-2021 16:16:41,50대,여성,프리랜서,6,아니오,아니오,아니오,,,,,매일편안한숙면을하고싶다,특별이 카페인음료 줄인다
11-26-2021 16:26:00,22,남성,직장인,10,아니오,아니오,아니오,,,,,항상,해결못해요ㅠ
11-26-2021 16:26:01,26,남성,학생,9,예,예,네,오토슬립,수면 모니터링,매일,넷플릭스 보고 잠,,
11-26-2021 16:28:11,22,남성,학생,7,예,아니오,아니오,,,,,다음날 일찍일어나야할때,졸릴때까지 휴대폰을해요
11-26-2021 16:33:37,53,남성,직장인,4,아니오,아니오,아니오,,,,,다음날 약속이 있을때,없음.
11-26-2021 16:34:51,27,여성,직장인,7,아니오,아니오,아니오,,,,,평일에 직장의 피로를 풀기 위해,수면유도 음악이 나오는 유튜브를 듣습니다
11-26-2021 16:36:52,26,남성,취준생,2,예,아니오,아니오,,,,,잠자는 시간,그냥 눈을 감는다
11-26-2021 16:36:56,22,남성,학생,5,아니오,아니오,아니오,,,,,밤,눈감고있기
11-26-2021 16:46:55,53,여성,프리랜서,5,아니오,아니오,아니오,,,,,스트레스 쌓일때,따뜻한  우유 마신다.
11-26-2021 16:47:07,만23,여성,학생,6,예,아니오,아니오,,,,,밤낮 바뀌었을 때,무작정 누워있음
11-26-2021 16:51:13,53,남성,프리랜서,3,아니오,아니오,네,슬립사이클,수면 유도,내일 일찍 출근 날,수면 어플 이용,,
11-26-2021 17:01:55,23,남성,학생,3,아니오,아니오,아니오,,,,,다음날 아침 일찍 일이 있어서 자고 싶을 때 ,해결 못함 뜬눈으로 평소 자는 시간까지 시간 보냄.
11-26-2021 17:06:17,22,남성,학생,7,아니오,아니오,네,기억안나는데..써봤어요..,"수면 모니터링, 코골이, 이갈이 등 녹음","시험기간, 실습기간",밤새기,,
11-26-2021 17:19:45,22,남성,학생,3,아니오,아니오,아니오,,,,,잘때,눈감고 대기
11-26-2021 17:20:16,22,남성,학생,1,아니오,아니오,아니오,,,,,매일,그런 적이 없다
11-26-2021 17:20:17,26살,남성,학생,8,아니오,아니오,아니오,,,,,언제나이긴하지만 학생이다보니 특히 시험기간에 잠을 가장 자고싶긴하죠 ㅎㅎ,"저녁부터 술을 때려 넣고 골아 떨어지는 방법, 그리고 낮잠을 절대 안자고 일찍 일어나서 밤에 극도로 피곤하게끔 만들기도 한다"
11-26-2021 17:20:34,20,여성,학생,5,아니오,아니오,아니오,,,,,시험기간,"카페인 섭취,,"
11-26-2021 17:26:40,22,여성,학생,4,예,아니오,아니오,,,,,매일,잠이 올 때까지 안 잠
11-26-2021 17:27:50,21,여성,학생,6,아니오,아니오,아니오,,,,,"시험 기간, 학회 프로젝트 준비 기간, 아플 때",잠에 들길 바라며 계속 누워있는다
11-26-2021 17:28:03,25,남성,시험 준비생,7,아니오,아니오,아니오,,,,,매일 밤,Asmr 등을 듣지만 큰 효과는 없다
11-26-2021 17:28:11,25,여성,학생,1,아니오,아니오,네,슬립사이클,수면 모니터링,매일,asmr,,
11-26-2021 17:29:01,34,남성,직장인,8,아니오,아니오,아니오,,,,,평소에 늘,이것저것 해봤는데 해결은 안되고 그냥 뒤척이다가 지쳐서 잠듭니다
11-26-2021 17:29:56,26,남성,직장인,7,예,아니오,아니오,,,,,항상 필요해요 ㅠㅠ,유튜브 백색소음 틀고 자용
11-26-2021 17:32:17,27,남성,직장인,9,아니오,아니오,아니오,,,,,매일,X
11-26-2021 17:32:24,26,남성,직장인,7,아니오,아니오,아니오,,,,,야근몇일하다보면 잠 몰아서 자줘야합니다,빗소리 틀어놓는다
11-26-2021 17:34:14,25,남성,학생,7,아니오,아니오,아니오,,,,,시험 기간,스마트폰을 보다가 눈이 피곤하면 억지로 감고 잠에 듭니다.
11-26-2021 17:34:46,22,남성,시험 준비생,8,아니오,아니오,아니오,,,,,꾸준한 공부시간을 유지해야할때,뭘 먹거나 눈을 피로하게 합니다
11-26-2021 17:35:04,33,남성,프리랜서,9,아니오,아니오,아니오,,,,,밤,음악
11-26-2021 17:36:05,24,여성,학생,6,예,아니오,아니오,,,,,시험기간이나 과제기간,커피를 참는다
11-26-2021 17:36:20,24,여성,직장인,7,아니오,아니오,아니오,,,,,스트레스 받을 때 / 어쩌다 커피 마셨을 때,유튜브에서 ASMR 틀어놓거나 일부러 아무 생각 안하려고 하기
11-26-2021 17:36:44,24,남성,시험 준비생,5,예,예,네,오토슬립,수면 분석 리포트,생활 패턴 맞추기(아침에 일찍 일어나기),책 읽어주는 유투브,,
11-26-2021 17:37:11,32,남성,직장인,7,예,예,아니오,,,,,술 마신 다음날 아침,잠이 들때까지 눈을 절대 뜨지 않기
11-26-2021 17:38:38,52세,여성,프리랜서,5,아니오,아니오,아니오,,,,,피곤할때,유튜브 시청
11-26-2021 17:39:23,21,여성,학생,3,예,아니오,아니오,,,,,낮잠을 잔 날 밤 / 술먹은 다음 날,유투브 asmr을 찾아 듣는다
11-26-2021 17:39:31,25,남성,학생,1,예,아니오,아니오,,,,,주말 낮잠,그냥 잠올때까지 핸드폰 만짐
11-26-2021 17:40:02,28,남성,학생,4,예,예,네,오토슬립,수면 모니터링,수면 패턴이 망가졌을 때,자연소리 asmr,,
11-26-2021 17:41:37,53,남성,직장인,10,아니오,아니오,아니오,,,,,매일,호흡에 집중
11-26-2021 17:42:16,33,남성,직장인,2,예,아니오,아니오,,,,,특별히 없다,가만 눈을 감고 있는다
11-26-2021 17:42:20,21,여성,학생,6,아니오,아니오,아니오,,,,,시험기간,요리영상같은걸 찾아본다
11-26-2021 17:42:53,32,남성,직장인,6,아니오,아니오,아니오,,,,,매일매일,커피
11-26-2021 17:42:55,24,여성,학생,9,예,예,네,오토슬립,수면 모니터링,중요한 날 전날,,,
11-26-2021 17:44:49,21,여성,학생,7,아니오,아니오,네,슬립사이클,"수면 모니터링, 수면 분석 리포트",과제가 몰렸을 때,"휴일에 몰아자거나 낮잠,쪽잠 잡니다",,
11-26-2021 17:44:51,20세,여성,학생,1,예,아니오,네,애플 건강 기본 앱,"알람, 수면 모니터링, 수면 분석 리포트","시험기간, 운동 후",책을 읽는다/주파수영상을 틀어둔다/명상을 한다,,
11-26-2021 17:45:10,67세,남성,프리랜서,10,아니오,아니오,아니오,,,,,TV 시청,주변인을 귀찮게 한다
11-26-2021 17:46:23,23살,남성,학생,3,아니오,아니오,아니오,,,,,시험기간,커피를 마신다
11-26-2021 17:47:40,23,남성,학생,2,아니오,아니오,아니오,,,,,항상,눈감기
11-26-2021 17:47:44,23,남성,학생,3,아니오,아니오,아니오,,,,,항상,상상의 나래를 펼치거나 졸릴때까지 휴대폰한다
11-26-2021 17:47:58,23,여성,학생,7,예,예,네,오토슬립,"수면 모니터링, 수면 분석 리포트",스트레스 및 업무가 많을 때,운동을 하거나 피곤한 상태를 유지하다가 잠듭니다,,
11-26-2021 17:48:02,25,여성,시험 준비생,10,예,예,아니오,,,,,특별히 필요한 순간은 없지만 매일매일 컨디션 관리를 위해 규칙적인 수면 습관이 필요하다는 생각을 합니다.,포기하고 일어나서 시간을 보내는 편입니다.
11-26-2021 17:48:48,22,여성,학생,4,예,아니오,아니오,,,,,시험기갘,노래를 듣는다
11-26-2021 17:53:46,20,남성,학생,6,예,예,아니오,,,,,시험기간,유튜브 졸릴때까지 본다
11-26-2021 17:53:52,27,여성,학생,9,예,예,네,슬립사이클,수면 분석 리포트,평상시,수면유도 노래틀고자요,,
11-26-2021 17:56:05,25,여성,시험 준비생,7,아니오,아니오,아니오,,,,,평상시,asmr을 듣는다
11-26-2021 17:56:08,32,남성,직장인,8,아니오,아니오,아니오,,,,,출근하는날,어떻게든 잠드려고 누워있음
11-26-2021 17:57:23,30,여성,직장인,8,예,아니오,아니오,,,,,회사중요한이슈가있어 연차를 쓰지 못하고 반드시 일찍 일어나야할때,해결불가 포기하고 마음을 비웁니다 다음날 늦게일어나도될경우에는 술을 마십니다
11-26-2021 17:58:01,23,여성,학생,6,아니오,아니오,아니오,,,,,시험 기간,에너지드링크나 커피
11-26-2021 18:00:11,49세,여성,직장인,2,아니오,아니오,아니오,,,,,잠 설친 다음날,계속 눈을 감고 잠을 청해본다
11-26-2021 18:01:54,52,여성,직장인,1,아니오,아니오,아니오,,,,,불면증,휴대폰
11-26-2021 18:04:08,27,여성,직장인,6,아니오,아니오,아니오,,,,,"평일 새벽까지 잠이 안올때, 일요일밤",수면유도영상 찾아보기
11-26-2021 18:04:10,23,남성,직장인,8,아니오,아니오,아니오,,,,,일할때,눈을 감고 명상하여 잔다
11-26-2021 18:04:48,46,여성,프리랜서,3,아니오,아니오,아니오,,,,,운동 후 ,억지로 누워 있는다
11-26-2021 18:05:36,23,여성,학생,9,아니오,아니오,아니오,,,,,중요한 일 (ex. 발표가 있을 때) 전날 밤,일어나서 다시 공부를 하면 잠이 와요
11-26-2021 18:06:45,이재원,여성,학생,2,예,아니오,아니오,,,,,"시험기간, 운동 후",양을 셉니다. 카모마일티를 마십니다
11-26-2021 18:08:19,24,남성,시험 준비생,8,아니오,아니오,아니오,,,,,매일...,억지로 잠에 들려고 함
11-26-2021 18:08:22,22,여성,학생,5,아니오,아니오,네,애플 건강 앱 내 수면기능,"알람, 수면 분석 리포트",시험 기간,눈 감고 그냥 누워있음,,
11-26-2021 18:11:15,32,여성,직장인,7,예,아니오,네,슬립사이클,알람,주중 (출퇴근에너지소모때문),커피로 잠을깬다,,
11-26-2021 18:11:26,20,남성,학생,8,아니오,아니오,아니오,,,,,진행하는 프로젝트로 밤샘이 잦을때,미뤗다가 쉬는 날에 몰아서 잡니다..ㅠㅠㅠㅠ
11-26-2021 18:17:05,24,여성,학생,8,아니오,아니오,아니오,,,,,다음 날 중요한 일이 있어 최상의 컨디션을 가져야 할 때,방법이 없다. 잠이 올 때까지 기다린다.
11-26-2021 18:19:40,31,남성,직장인,7,아니오,아니오,아니오,,,,,중요한 일 앞두고,눈감고계속있기
